DLiP-ID,C101LB
DLiP-Mol-ID,40149
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23F3N2O3.ClH/c1-27-12-14-28(15-13-27)22(30)16-31-19-9-6-18(7-10-19)21(29)11-8-17-4-2-3-5-20(17)23(24,25)26;/h2-11H,12-16H2,1H3;1H/b11-8+;"
Standard Inchi Key(RDKit),MLBFDNAGDZEBHA-YGCVIUNWSA-N
Canonical SMILES(RDKit),CN1CCN(C(=O)COc2ccc(C(=O)/C=C/c3ccccc3C(F)(F)F)cc2)CC1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),468.903
MW Monoisotopic(RDKit),468.142754968
MolLogP(RDKit),4.1761
XLogP(SDF),
XLogP(CDK),4.157
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),49.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.471308709733957
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,7152010.878833549
qed,0.4713087097339566
Chi0,22.432510652501765
Chi1,14.736202008657774
TPSA,49.85
Chi0n,17.470350369712047
Chi0v,18.286846950639774
Chi1n,9.816680204473512
Chi1v,9.816680204473512
Chi2n,7.279708778495359
