DLiP-ID,T000GS
DLiP-Mol-ID,15971
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H27N5O4/c28-19(7-1-6-17-9-8-15-4-3-11-24-22(15)26-17)25-14-20(29)27-18(12-21(30)31)16-5-2-10-23-13-16/h2,5,8-10,13,18H,1,3-4,6-7,11-12,14H2,(H,24,26)(H,25,28)(H,27,29)(H,30,31)/t18-/m0/s1"
Standard Inchi Key(RDKit),BHDLQEOXHBGVFT-SFHVURJKSA-N
Canonical SMILES(RDKit),O=C(O)C[C@H](NC(=O)CNC(=O)CCCc1ccc2c(n1)NCCC2)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),425.489
MW Monoisotopic(RDKit),425.206304344
MolLogP(RDKit),1.6058
XLogP(SDF),
XLogP(CDK),0.454
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),133.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.454335887678611
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,9251132.391438382
qed,0.4543358876786106
Chi0,22.053830996061404
Chi1,15.00804039084698
TPSA,133.31
Chi0n,17.264691791711225
Chi0v,17.264691791711225
Chi1n,10.414763440625713
Chi1v,10.414763440625713
Chi2n,7.4752536601787405
Chi2v,7.4752536601787405
Chi3n,5.035431841419127
Chi3v,5.035431841419127
Chi4n,3.459661859213134
Chi4v,3.459661859213134
MolMR,114.36890000000002
MolWt,425.48900000000015
fr_SH,0
Kappa1,22.20095348273466
Kappa2,11.051381864565814
Kappa3,7.0554755207568896
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,919.372208874781
MolLogP,1.6058000000000006
NOCount,9
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.4005244861507267
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,20.60153424990708
SMR_VSA4,0.0
SMR_VSA5,44.56677056670402
SMR_VSA6,18.406301415831482
SMR_VSA7,53.47998639531504
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,180.22965410983554
NHOHCount,4
PEOE_VSA1,21.056893206859698
PEOE_VSA2,19.367590073162674
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,48.94292361202125
PEOE_VSA8,31.0531931669132
PEOE_VSA9,19.007418857986547
RingCount,3
SMR_VSA10,23.60152752448989
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,425.2063043440001
NumHDonors,4
PEOE_VSA10,5.817862777835028
PEOE_VSA11,0.0
