DLiP-ID,T000RG
DLiP-Mol-ID,16440
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H22N4O4/c21-20(22)23-10-13-2-1-3-14(8-13)12-28-16-4-5-17-15(9-16)6-7-24(19(17)27)11-18(25)26/h1-5,8-9H,6-7,10-12H2,(H,25,26)(H4,21,22,23)"
Standard Inchi Key(RDKit),CDSLUKCVJUQQKS-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)NCc1cccc(COc2ccc3c(c2)CCN(CC(=O)O)C3=O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),382.42
MW Monoisotopic(RDKit),382.164105184
MolLogP(RDKit),1.33157
XLogP(SDF),
XLogP(CDK),-0.239
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),128.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.422379851523318
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1813303.5124747017
qed,0.42237985152331775
Chi0,20.095647359318303
Chi1,13.418723993369941
TPSA,128.74
Chi0n,15.273508121841253
Chi0v,15.273508121841253
Chi1n,8.846559862143929
Chi1v,8.846559862143929
Chi2n,6.565254286675333
Chi2v,6.565254286675333
Chi3n,4.451367340586146
Chi3v,4.451367340586146
Chi4n,3.1101326307534483
Chi4v,3.1101326307534483
MolMR,103.21310000000005
MolWt,382.42000000000013
fr_SH,0
Kappa1,19.218221954609938
Kappa2,8.426978650661939
Kappa3,4.7873976439126285
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,912.8287416657224
MolLogP,1.3315699999999997
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.638331373964599
SMR_VSA1,19.4324647167844
SMR_VSA2,5.409283605791522
SMR_VSA3,10.216698334856808
SMR_VSA4,5.733667477162185
SMR_VSA5,19.5724599933515
SMR_VSA6,13.08951281182515
SMR_VSA7,64.71837544601925
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.96796381908396
NHOHCount,5
PEOE_VSA1,25.793756160659747
PEOE_VSA2,14.998357973935164
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,41.31027730340183
PEOE_VSA8,18.652964303522147
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,17.83603958604719
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,382.16410518399994
NumHDonors,4
PEOE_VSA10,18.9011502037094
PEOE_VSA11,5.959554568743835
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,15.787319034968565
SlogP_VSA2,40.93198952356352
SlogP_VSA3,24.366997177423322
SlogP_VSA4,5.409283605791522
SlogP_VSA5,27.048343150859804
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,1
fr_halogen,0
fr_hdrzine,0
