DLiP-ID,T004YM
DLiP-Mol-ID,21672
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H33ClN4O5/c1-33-23-18(24)11-17(13-26-23)19(12-21(30)31)27-22(32)16-3-2-10-28(14-16)20(29)5-4-15-6-8-25-9-7-15/h11,13,15-16,19,25H,2-10,12,14H2,1H3,(H,27,32)(H,30,31)/t16-,19+/m1/s1"
Standard Inchi Key(RDKit),POMPVFVGEMHCEN-APWZRJJASA-N
Canonical SMILES(RDKit),COc1ncc([C@H](CC(=O)O)NC(=O)[C@@H]2CCCN(C(=O)CCC3CCNCC3)C2)cc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),480.993000000001
MW Monoisotopic(RDKit),480.213947836
MolLogP(RDKit),2.394
XLogP(SDF),
XLogP(CDK),1.464
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),120.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.495819024740376
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,21672866.79131316
qed,0.49581902474037615
Chi0,23.79431797206756
Chi1,15.867412398353684
TPSA,120.86000000000001
Chi0n,19.017524360364707
Chi0v,19.77345330638316
Chi1n,11.570956035652127
Chi1v,11.948920508661354
Chi2n,8.829744529368627
Chi2v,9.236944656109232
Chi3n,6.489590038580884
Chi3v,6.760366084152776
Chi4n,4.571113859416268
Chi4v,4.823048695714483
MolMR,123.06720000000006
MolWt,480.9930000000003
fr_SH,0
Kappa1,25.237047595189104
Kappa2,12.178945205002421
Kappa3,7.299034736966584
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
