DLiP-ID,T007NH
DLiP-Mol-ID,25846
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20N2O3S/c1-20-18-4-2-3-14(21-18)9-10-24-15-6-7-16-13(5-8-19(22)23)12-25-17(16)11-15/h2-4,6-7,11-12H,5,8-10H2,1H3,(H,20,21)(H,22,23)"
Standard Inchi Key(RDKit),YJJAVNJAKKVPJI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CNc1cccc(CCOc2ccc3c(CCC(=O)O)csc3c2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),356.447
MW Monoisotopic(RDKit),356.1194635
MolLogP(RDKit),3.9767
XLogP(SDF),
XLogP(CDK),3.342
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),71.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.638761754168995
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,658822.867193982
qed,0.6387617541689949
Chi0,17.648053602125596
Chi1,12.152198343190413
TPSA,71.45
Chi0n,13.989051071465079
Chi0v,14.805547652392805
Chi1n,8.138956337879574
Chi1v,9.018609149134466
Chi2n,5.675271362471153
Chi2v,6.586502288889632
Chi3n,3.9252219604058665
Chi3v,4.919289114165242
Chi4n,2.620032668743726
Chi4v,3.6443745543142456
MolMR,100.76450000000004
MolWt,356.447
fr_SH,0
Kappa1,17.23042192958882
Kappa2,7.983276560651152
Kappa3,4.48007742969028
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,875.9866380552921
MolLogP,3.976700000000003
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.6092199515540986
SMR_VSA1,14.637927532712576
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
