DLiP-ID,T000CQ
DLiP-Mol-ID,15797
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29N3O4/c1-19-7-5-10-24(28-19)27-15-6-16-33-23-13-11-20(12-14-23)17-22(18-25(30)31)29-26(32)21-8-3-2-4-9-21/h2-5,7-14,22H,6,15-18H2,1H3,(H,27,28)(H,29,32)(H,30,31)/t22-/m0/s1"
Standard Inchi Key(RDKit),AZJXRTUXACPMAY-QFIPXVFZSA-N
Canonical SMILES(RDKit),Cc1cccc(NCCCOc2ccc(C[C@@H](CC(=O)O)NC(=O)c3ccccc3)cc2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),447.535
MW Monoisotopic(RDKit),447.215806408
MolLogP(RDKit),4.08682
XLogP(SDF),
XLogP(CDK),4.394
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),100.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),12
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.361762456957792
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,23791052.540468935
qed,0.361762456957792
