DLiP-ID,T0004M
DLiP-Mol-ID,15448
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H24N4O3/c22-15(23)3-9-19-16(24)20-10-4-17(5-11-20)6-12-21(13-17)14-1-7-18-8-2-14/h1-2,7-8H,3-6,9-13H2,(H,19,24)(H,22,23)"
Standard Inchi Key(RDKit),AJBLNDCWIIWISU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCNC(=O)N1CCC2(CC1)CCN(c1ccncc1)C2
SMILES(SDF),
MW(SDF),
MW(RDKit),332.404
MW Monoisotopic(RDKit),332.184840628
MolLogP(RDKit),1.5582
XLogP(SDF),
XLogP(CDK),0.779
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),85.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.873767710939971
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,384229.52984534774
qed,0.8737677109399712
Chi0,16.993353063746344
Chi1,11.578917360319544
TPSA,85.77
Chi0n,13.778713070364994
Chi0v,13.778713070364994
Chi1n,8.475714806691409
Chi1v,8.475714806691409
Chi2n,6.739683691967583
Chi2v,6.739683691967583
Chi3n,5.192600813039691
Chi3v,5.192600813039691
Chi4n,3.6908051095943897
Chi4v,3.6908051095943897
MolMR,89.95850000000006
MolWt,332.404
fr_SH,0
Kappa1,16.54437677215604
Kappa2,7.06724099244055
Kappa3,3.7740878865382452
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,584.7582679742393
MolLogP,1.5581999999999998
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,1
BalabanJ,1.4830076055648913
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,15.200676855804016
SMR_VSA4,5.41499046939678
SMR_VSA5,25.683286491704038
SMR_VSA6,37.62369176041335
SMR_VSA7,24.52642128014937
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
