DLiP-ID,T001MN
DLiP-Mol-ID,17404
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H30N2O5S/c1-23(2)29(26,27)18-7-16(4-5-17(18)28-3)22-19(24)12-20-8-14-6-15(9-20)11-21(25,10-14)13-20/h4-5,7,14-15,25H,6,8-13H2,1-3H3,(H,22,24)"
Standard Inchi Key(RDKit),FRDKLOFMCDNNKK-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(NC(=O)CC23CC4CC(CC(O)(C4)C2)C3)cc1S(=O)(=O)N(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),422.547
MW Monoisotopic(RDKit),422.18754306
MolLogP(RDKit),2.6054
XLogP(SDF),
XLogP(CDK),2.25
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),95.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.7346773174092
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rac1/GEFs
Common Target Pref Name,RAC1/TIAM1
RDKit Descriptors
Ipc,2154691.550001009
qed,0.7346773174092004
Chi0,21.026733258565958
Chi1,13.540190991925385
TPSA,95.93999999999998
Chi0n,17.272167457573197
Chi0v,18.088664038500923
Chi1n,10.170512973319896
Chi1v,11.610576302120537
Chi2n,9.563387718065297
Chi2v,11.683643546689279
Chi3n,6.892938448421527
Chi3v,8.729220312473446
Chi4n,6.307246783691662
Chi4v,7.382149668562569
MolMR,109.17830000000005
MolWt,422.5470000000002
fr_SH,0
Kappa1,20.625447046509084
Kappa2,6.9581470439124855
Kappa3,3.7763122986340427
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,912.9991853494766
MolLogP,2.6054000000000004
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5217883438731103
SMR_VSA1,23.055724517041515
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,17.250802561719567
SMR_VSA5,55.442285646983535
SMR_VSA6,26.521930110638245
SMR_VSA7,18.19910120538483
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,172.02781420283162
NHOHCount,2
PEOE_VSA1,15.160178952647085
PEOE_VSA2,4.794537184071822
PEOE_VSA3,12.72301297562517
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,73.97483350466047
PEOE_VSA8,26.203551862963952
PEOE_VSA9,12.710848352261221
RingCount,5
SMR_VSA10,21.61785715744265
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,422.18754305999994
NumHDonors,2
PEOE_VSA10,10.644995308801679
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
