DLiP-ID,C000PR
DLiP-Mol-ID,31184
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21NO2/c22-19(15-16-9-3-1-4-10-16)17-11-5-6-12-18(17)20(23)21-13-7-2-8-14-21/h1,3-6,9-12H,2,7-8,13-15H2"
Standard Inchi Key(RDKit),GTZQHATUPRUOGY-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Cc1ccccc1)c1ccccc1C(=O)N1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),307.393
MW Monoisotopic(RDKit),307.157228912
MolLogP(RDKit),3.7381
XLogP(SDF),
XLogP(CDK),3.839
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),37.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.80699368934447
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,258982.1812781222
qed,0.80699368934447
Chi0,16.070703332935974
Chi1,11.254020195423488
TPSA,37.38
Chi0n,13.202503286253606
Chi0v,13.202503286253606
Chi1n,8.209451273146652
Chi1v,8.209451273146652
Chi2n,5.9839962675979255
Chi2v,5.9839962675979255
Chi3n,4.30866207602945
Chi3v,4.30866207602945
Chi4n,3.0565862643324038
Chi4v,3.0565862643324038
MolMR,90.67300000000006
MolWt,307.39300000000014
fr_SH,0
Kappa1,15.474722514025515
Kappa2,7.228183088584723
Kappa3,3.674737688436352
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,687.7976784496126
MolLogP,3.738100000000003
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8207022728352222
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,25.683286491704038
SMR_VSA6,13.08951281182515
SMR_VSA7,71.28765809124548
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,136.48508095749557
NHOHCount,0
PEOE_VSA1,4.899909730850478
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,30.892283428936636
PEOE_VSA8,25.073785926448156
PEOE_VSA9,5.563451491696996
RingCount,3
SMR_VSA10,11.690424675716445
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,307.15722891200005
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,29.679847218392077
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,45.541893712012666
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.690424675716445
EState_VSA3,17.54772460632
EState_VSA4,31.494607549374166
EState_VSA5,6.4208216229260096
EState_VSA6,12.13273413692322
EState_VSA7,47.364479210081754
EState_VSA8,0.0
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
