DLiP-ID,T006VN
DLiP-Mol-ID,24643
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H25N3/c17-15-13-14(18-9-3-1-4-10-18)7-8-16(15)19-11-5-2-6-12-19/h7-8,13H,1-6,9-12,17H2"
Standard Inchi Key(RDKit),WAOUXZZNLNSGRH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1cc(N2CCCCC2)ccc1N1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),259.397
MW Monoisotopic(RDKit),259.2048478
MolLogP(RDKit),3.2494
XLogP(SDF),
XLogP(CDK),3.591
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),32.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.82752536375966
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,S100B/p53
Common Target Pref Name,S100B/p53
RDKit Descriptors
Ipc,38375.828483808225
qed,0.8275253637596596
Chi0,13.079139501373252
Chi1,9.34333659290053
TPSA,32.5
Chi0n,11.774896079623899
Chi0v,11.774896079623899
Chi1n,7.738833665874708
Chi1v,7.738833665874708
Chi2n,5.8385353314452155
Chi2v,5.8385353314452155
Chi3n,4.429075294404893
Chi3v,4.429075294404893
Chi4n,3.3135124017603372
Chi4v,3.3135124017603372
MolMR,82.98240000000004
MolWt,259.397
fr_SH,0
Kappa1,12.64357639181139
Kappa2,5.722383716959226
Kappa3,2.7998704334637163
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,418.00226417051334
MolLogP,3.2494000000000023
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7623352996605566
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,38.524929737556064
SMR_VSA6,41.71251256251344
SMR_VSA7,18.19910120538483
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,115.92871999382407
NHOHCount,2
PEOE_VSA1,15.533486938863142
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,56.7240309429409
PEOE_VSA8,31.866411898333865
PEOE_VSA9,11.374772549367124
RingCount,3
SMR_VSA10,17.062158824050687
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,259.2048478
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.533486938863142
SlogP_VSA2,26.1790256236503
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,38.524929737556064
SlogP_VSA6,18.19910120538483
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,0.0
EState_VSA4,18.776899086508713
EState_VSA5,62.98921509874833
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,27.998920667085784
EState_VSA9,5.733667477162185
SlogP_VSA10,17.062158824050687
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
