DLiP-ID,T004JQ
DLiP-Mol-ID,19166
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H18O3/c18-17(19)9-5-4-6-14-10-12-16(13-11-14)20-15-7-2-1-3-8-15/h1-3,7-8,10-13H,4-6,9H2,(H,18,19)"
Standard Inchi Key(RDKit),OIMJIOIOIVCZPF-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCCCc1ccc(Oc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),270.328
MW Monoisotopic(RDKit),270.125594436
MolLogP(RDKit),4.2763
XLogP(SDF),
XLogP(CDK),4.237
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),46.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.763870137554914
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,E1/E2
Common Target Pref Name,E1/E2
RDKit Descriptors
Ipc,40128.56914000789
qed,0.7638701375549142
Chi0,14.208896013370174
Chi1,9.737183443017884
TPSA,46.53
Chi0n,11.28828972388051
Chi0v,11.28828972388051
Chi1n,6.775136822201198
Chi1v,6.775136822201198
Chi2n,4.659910477470385
Chi2v,4.659910477470385
Chi3n,3.0083532922543728
Chi3v,3.0083532922543728
Chi4n,1.9541310046297167
Chi4v,1.9541310046297167
MolMR,78.14880000000005
MolWt,270.32800000000003
fr_SH,0
Kappa1,14.12615235609707
Kappa2,7.33610792827219
Kappa3,4.764899603195351
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,531.9213915955215
MolLogP,4.276300000000003
NOCount,3
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.8201106404170182
SMR_VSA1,14.637927532712578
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,25.683286491704038
SMR_VSA6,0.0
SMR_VSA7,60.160755107851486
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,118.38250897929072
NHOHCount,1
PEOE_VSA1,9.843390348640755
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,49.091384634321464
PEOE_VSA8,6.4208216229260096
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,5.969305287951849
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,270.12559443600003
NumHDonors,1
PEOE_VSA10,11.49902366656781
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.736862953800049
SlogP_VSA2,11.075832682792555
SlogP_VSA3,11.21535880699783
SlogP_VSA4,0.0
SlogP_VSA5,24.825916360475023
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,6.4208216229260096
EState_VSA3,0.0
EState_VSA4,30.761488535345837
EState_VSA5,5.563451491696996
EState_VSA6,0.0
EState_VSA7,54.59730361615449
EState_VSA8,0.0
EState_VSA9,9.843390348640755
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
