DLiP-ID,T007TX
DLiP-Mol-ID,26115
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H29N3O4/c1-34-26-7-3-2-6-23(26)25(18-27(32)33)31-15-12-20-17-22(10-11-24(20)31)35-16-13-21-9-8-19-5-4-14-29-28(19)30-21/h2-3,6-12,15,17,25H,4-5,13-14,16,18H2,1H3,(H,29,30)(H,32,33)"
Standard Inchi Key(RDKit),YURBLSCQXZUCIK-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccccc1C(CC(=O)O)n1ccc2cc(OCCc3ccc4c(n3)NCCC4)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),471.557
MW Monoisotopic(RDKit),471.215806408
MolLogP(RDKit),5.0886
XLogP(SDF),
XLogP(CDK),4.945
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),85.61
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.35376206739329
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,147453419.01160464
qed,0.3537620673932904
Chi0,24.200095366003374
Chi1,17.118524838379198
TPSA,85.61
Chi0n,19.73722957528626
Chi0v,19.73722957528626
Chi1n,11.929334030033795
Chi1v,11.929334030033795
Chi2n,8.738351896525112
Chi2v,8.738351896525112
Chi3n,6.472283825637503
Chi3v,6.472283825637503
Chi4n,4.750475671968727
Chi4v,4.750475671968727
MolMR,135.57049999999992
MolWt,471.55700000000036
fr_SH,0
Kappa1,22.775510204081634
Kappa2,10.092
Kappa3,4.940138626339005
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1347.297445998434
MolLogP,5.088600000000004
NOCount,7
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.3275417113599581
SMR_VSA1,19.374790486512623
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,31.725127320852
SMR_VSA6,25.57822451570936
SMR_VSA7,83.68134523447164
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
