DLiP-ID,C002VX
DLiP-Mol-ID,32869
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H28N2O4/c1-17-7-2-4-10-22(17)28-24(30)16-33-27(31)25-20-9-3-5-11-23(20)29-26-18(12-13-21(25)26)15-19-8-6-14-32-19/h3,5-6,8-9,11,14-15,17,22H,2,4,7,10,12-13,16H2,1H3,(H,28,30)/b18-15+"
Standard Inchi Key(RDKit),FXSYYMGBMPXVBO-OBGWFSINSA-N
Canonical SMILES(RDKit),CC1CCCCC1NC(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccco1)CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),444.531
MW Monoisotopic(RDKit),444.204907376
MolLogP(RDKit),5.1663
XLogP(SDF),
XLogP(CDK),4.216
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),81.43
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.549481918719745
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,60113671.51013494
