DLiP-ID,C003FD
DLiP-Mol-ID,33943
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1"
Standard Inchi Key(RDKit),ZAIPMKNFIOOWCQ-UEKVPHQBSA-N
Canonical SMILES(RDKit),CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1
SMILES(SDF),
MW(SDF),
MW(RDKit),347.396
MW Monoisotopic(RDKit),347.093977024
MolLogP(RDKit),0.444899999999999
XLogP(SDF),
XLogP(CDK),-2.192
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),112.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.681612581250308
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,232419.89941069784
qed,0.6816125812503079
Chi0,17.430356941388638
Chi1,11.413591357920932
TPSA,112.73
Chi0n,12.930679556748553
Chi0v,13.747176137676279
Chi1n,7.401373311845372
Chi1v,8.45012810182603
Chi2n,5.718510597143325
Chi2v,6.823503102725273
