DLiP-ID,C101MG
DLiP-Mol-ID,40190
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H35N3O4/c1-19(2)22-12-14-31(15-13-22)16-20-6-8-21(9-7-20)18-36-26-5-3-4-23-24(26)17-32(29(23)35)25-10-11-27(33)30-28(25)34/h3-9,19,22,25H,10-18H2,1-2H3,(H,30,33,34)"
Standard Inchi Key(RDKit),JBPNVVIHWFBAQI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)C1CCN(Cc2ccc(COc3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)cc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),489.616
MW Monoisotopic(RDKit),489.2627566
MolLogP(RDKit),3.8946
XLogP(SDF),
XLogP(CDK),4.205
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),78.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.597203675795019
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cereblon/Aiolos
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,179682949.64345068
qed,0.597203675795019
Chi0,25.23347556082299
Chi1,17.385050488558722
TPSA,78.95
Chi0n,21.164884075430557
Chi0v,21.164884075430557
Chi1n,13.082940048061323
Chi1v,13.082940048061323
Chi2n,10.644983143065513
Chi2v,10.644983143065513
Chi3n,7.9376322765250755
Chi3v,7.9376322765250755
Chi4n,5.630323849877169
Chi4v,5.630323849877169
MolMR,136.1002
MolWt,489.6160000000004
fr_SH,0
Kappa1,24.502022464455276
Kappa2,10.428481658589293
Kappa3,5.164563103917173
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1135.7083254501156
MolLogP,3.8946000000000023
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.180173777937769
SMR_VSA1,19.120474506015512
