DLiP-ID,T004WG
DLiP-Mol-ID,19897
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H28N4O3/c30-23(31)6-13-27-12-5-19-17-20(1-2-22(19)27)24(32)28-14-7-25(8-15-28)9-16-29(18-25)21-3-10-26-11-4-21/h1-5,10-12,17H,6-9,13-16,18H2,(H,30,31)"
Standard Inchi Key(RDKit),PKRQSYMGKGXEGA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCn1ccc2cc(C(=O)N3CCC4(CC3)CCN(c3ccncc3)C4)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),432.524
MW Monoisotopic(RDKit),432.216140756
MolLogP(RDKit),3.6437
XLogP(SDF),
XLogP(CDK),3.313
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),78.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.66595847094332
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,34679248.77350976
qed,0.6659584709433203
Chi0,22.13118126525103
Chi1,15.528407103102724
TPSA,78.67
Chi0n,18.11267801181308
Chi0v,18.11267801181308
Chi1n,11.280237209252844
Chi1v,11.280237209252844
Chi2n,9.095634087504303
Chi2v,9.095634087504303
Chi3n,7.162031083346646
Chi3v,7.162031083346646
Chi4n,5.2294691826940385
Chi4v,5.2294691826940385
MolMR,122.82830000000004
MolWt,432.5240000000002
fr_SH,0
Kappa1,20.547004988168645
Kappa2,8.297053169386384
Kappa3,3.9470410644671667
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1132.554347877221
MolLogP,3.6437000000000026
NOCount,7
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.2271796342325254
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,14.450987899589041
SMR_VSA4,5.41499046939678
SMR_VSA5,32.22804289761662
SMR_VSA6,31.07893535450078
SMR_VSA7,60.552184617305876
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,186.81353010424345
NHOHCount,1
PEOE_VSA1,19.473446504333015
PEOE_VSA2,14.573052889090853
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,61.075657748944465
PEOE_VSA8,73.46807544286372
PEOE_VSA9,6.4208216229260096
RingCount,5
SMR_VSA10,28.46679622406797
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,432.2161407560001
