DLiP-ID,T003RB
DLiP-Mol-ID,20702
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H24N2O7S/c1-32-21(26)6-4-2-3-5-16-7-9-17(10-8-16)15-20(23(28)29)25-22(27)18-11-13-19(14-12-18)33(24,30)31/h7-14,20H,2,4,6,15H2,1H3,(H,25,27)(H,28,29)(H2,24,30,31)/t20-/m0/s1"
Standard Inchi Key(RDKit),MBVLVQXFVMZUIM-FQEVSTJZSA-N
Canonical SMILES(RDKit),COC(=O)CCCC#Cc1ccc(C[C@H](NC(=O)c2ccc(S(N)(=O)=O)cc2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),472.519
MW Monoisotopic(RDKit),472.130422108
MolLogP(RDKit),1.4545
XLogP(SDF),
XLogP(CDK),0.219
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),152.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.283609750966267
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,12174278.058645083
qed,0.28360975096626745
Chi0,24.432510652501765
Chi1,15.595574016164479
TPSA,152.85999999999999
Chi0n,17.90688144538945
Chi0v,18.723378026317175
Chi1n,9.910504549627497
Chi1v,11.45682402754906
Chi2n,7.066182170948678
