DLiP-ID,I0011B
DLiP-Mol-ID,29267
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H22ClNO3/c25-20-13-11-19(12-14-20)24(29-16-6-15-27)22-10-5-4-9-21(22)23(28)26(24)17-18-7-2-1-3-8-18/h1-5,7-14,27H,6,15-17H2/t24-/m1/s1"
Standard Inchi Key(RDKit),RDFQXKACQGFINF-XMMPIXPASA-N
Canonical SMILES(RDKit),O=C1c2ccccc2[C@](OCCCO)(c2ccc(Cl)cc2)N1Cc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),407.897
MW Monoisotopic(RDKit),407.128821244
MolLogP(RDKit),4.5961
XLogP(SDF),
XLogP(CDK),4.851
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),49.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.582313389954337
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,5887925.231918618
qed,0.5823133899543377
Chi0,20.269373945685235
Chi1,14.163869018582144
TPSA,49.77
Chi0n,15.9228688691482
Chi0v,16.678797815166654
Chi1n,9.6285292564487
Chi1v,10.00649372945793
Chi2n,6.999012915547764
Chi2v,7.4354486960197494
Chi3n,5.180236082040802
Chi3v,5.432212397380288
Chi4n,3.8585959484169345
Chi4v,3.984584106086677
MolMR,112.64430000000002
MolWt,407.89700000000005
fr_SH,0
Kappa1,19.647566740966568
Kappa2,8.3742524882918
Kappa3,3.552014402684153
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,990.5223151695769
MolLogP,4.596100000000003
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8833517434412295
SMR_VSA1,14.637927532712576
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,18.69056362280884
SMR_VSA6,13.213763929025836
SMR_VSA7,106.13921117053027
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,174.8618140433071
NHOHCount,1
PEOE_VSA1,9.843390348640755
PEOE_VSA2,9.694446914922299
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,72.26461057484862
PEOE_VSA7,30.183374320007832
PEOE_VSA8,34.8646261592578
PEOE_VSA9,6.606881964512918
RingCount,4
SMR_VSA10,17.508119619584022
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,407.12882124400005
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,5.724985593970254
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
