DLiP-ID,C000LW
DLiP-Mol-ID,31019
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1"
Standard Inchi Key(RDKit),OIRDTQYFTABQOQ-KQYNXXCUSA-N
Canonical SMILES(RDKit),Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
SMILES(SDF),
MW(SDF),
MW(RDKit),267.245
MW Monoisotopic(RDKit),267.096753896
MolLogP(RDKit),-1.98
XLogP(SDF),
XLogP(CDK),-1.417
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),139.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.490519867679223
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,35227.092267622436
qed,0.49051986767922323
Chi0,13.568549621822843
Chi1,9.1302289553358
TPSA,139.54000000000002
Chi0n,9.787302124477499
Chi0v,9.787302124477499
Chi1n,5.6863751310965895
Chi1v,5.6863751310965895
Chi2n,4.311819367749401
Chi2v,4.311819367749401
Chi3n,3.178383097649782
Chi3v,3.178383097649782
Chi4n,2.1660908223461037
Chi4v,2.1660908223461037
MolMR,62.744800000000026
MolWt,267.245
fr_SH,0
Kappa1,12.23544093091737
Kappa2,4.3842388535215
Kappa3,1.7476128588760207
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,602.6175788415977
MolLogP,-1.9800000000000006
NOCount,9
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,2.035435145869755
SMR_VSA1,20.056445138322168
SMR_VSA2,0.0
SMR_VSA3,19.519035210632982
SMR_VSA4,0.0
SMR_VSA5,24.539800333979777
SMR_VSA6,12.340549441675103
SMR_VSA7,12.654640149529083
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,3
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,106.84616010324278
NHOHCount,5
PEOE_VSA1,25.790112615484354
PEOE_VSA2,4.567099647791355
PEOE_VSA3,14.951935562841626
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,0.0
PEOE_VSA8,0.0
PEOE_VSA9,12.934202039277459
RingCount,3
SMR_VSA10,16.981740716219015
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
