DLiP-ID,I001CG
DLiP-Mol-ID,29741
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20N2O3S/c1-13-9-10-17(19-14(2)21-24-15(19)3)11-18(13)25(22,23)20-12-16-7-5-4-6-8-16/h4-11,20H,12H2,1-3H3"
Standard Inchi Key(RDKit),WWWXTNNNFFUVPX-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),356.447
MW Monoisotopic(RDKit),356.1194635
MolLogP(RDKit),3.74536
XLogP(SDF),
XLogP(CDK),3.804
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.75566422295353
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,486590.67418646853
qed,0.7556642229535303
Chi0,18.02673325856595
Chi1,11.881847280265067
TPSA,72.2
Chi0n,14.406115692058966
Chi0v,15.222612272986693
Chi1n,7.957711008036255
Chi1v,9.440874255630648
Chi2n,5.989596384144298
Chi2v,7.724971499753113
Chi3n,4.108844631313641
Chi3v,5.652078391141684
Chi4n,2.7921907171712412
Chi4v,4.0784177024635015
MolMR,96.61750000000002
MolWt,356.44700000000006
fr_SH,0
Kappa1,17.385207694511355
Kappa2,6.818402003361283
Kappa3,3.646722910673323
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,973.2636074885124
MolLogP,3.7453600000000025
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.9435312579185222
SMR_VSA1,12.940891921302285
SMR_VSA2,0.0
SMR_VSA3,9.878758121577533
SMR_VSA4,0.0
SMR_VSA5,32.21145148050222
SMR_VSA6,0.0
SMR_VSA7,71.11201494480979
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,147.28133161602722
NHOHCount,1
PEOE_VSA1,4.523094936973348
