DLiP-ID,C004DG
DLiP-Mol-ID,35170
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H28Cl2N2O3/c1-4-27(5-2)28-22(16-9-11-18(25)12-10-16)20(17-7-6-8-19(26)13-17)14-24(3,23(28)31)15-21(29)30/h6-13,20,22H,4-5,14-15H2,1-3H3,(H,29,30)/t20-,22-,24-/m0/s1"
Standard Inchi Key(RDKit),DULNICHHRMGBFW-SSPYTLHUSA-N
Canonical SMILES(RDKit),CCN(CC)N1C(=O)[C@](C)(CC(=O)O)C[C@@H](c2cccc(Cl)c2)[C@@H]1c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),463.405
MW Monoisotopic(RDKit),462.147698116
MolLogP(RDKit),5.78840000000001
XLogP(SDF),
XLogP(CDK),4.615
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),60.85
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.564947544534367
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,5970023.680278591
qed,0.5649475445343674
Chi0,22.758784066134826
Chi1,14.695726309668945
TPSA,60.85000000000001
Chi0n,18.01599613008851
Chi0v,19.527854022125418
Chi1n,10.510620817985464
Chi1v,11.26654976400392
Chi2n,8.281813814076955
Chi2v,9.154685375020922
Chi3n,6.103969678396047
Chi3v,6.591043096523271
Chi4n,4.642725055104712
Chi4v,4.9674406671895275
MolMR,123.12980000000005
MolWt,463.4050000000001
fr_SH,0
Kappa1,23.580344518843443
Kappa2,9.595370891961783
Kappa3,4.892417522985398
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,946.0955246191872
MolLogP,5.7884000000000055
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.2208473849444994
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,10.017825047909064
SMR_VSA4,5.41499046939678
SMR_VSA5,45.57260172023324
SMR_VSA6,13.08951281182515
SMR_VSA7,69.70310615856953
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,193.07558531147964
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,14.597986892098174
PEOE_VSA3,5.008912523954532
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,68.23855965338335
PEOE_VSA7,41.81319288016644
PEOE_VSA8,29.052685485469198
PEOE_VSA9,17.87765292147075
RingCount,3
SMR_VSA10,35.07836479776839
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,462.147698116
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,40.09035027187827
SlogP_VSA3,9.589074368143644
SlogP_VSA4,5.41499046939678
SlogP_VSA5,56.69950470362723
