DLiP-ID,C000UW
DLiP-Mol-ID,31413
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)"
Standard Inchi Key(RDKit),YWTYJOPNNQFBPC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1
SMILES(SDF),
MW(SDF),
MW(RDKit),255.665
MW Monoisotopic(RDKit),255.05230224
MolLogP(RDKit),0.6879
XLogP(SDF),
XLogP(CDK),3.404
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),83.66
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.48799841054852
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,9370.081041797011
qed,0.4879984105485199
Chi0,12.25071237662706
Chi1,8.14786704554084
TPSA,83.66
Chi0n,8.836686587065307
Chi0v,9.592615533083762
Chi1n,4.972070941509818
Chi1v,5.350035414519046
Chi2n,3.4989446486828215
Chi2v,3.886193389864517
Chi3n,2.302817550852192
Chi3v,2.526395715816788
Chi4n,1.5706120125540113
Chi4v,1.6824010950363095
MolMR,62.089100000000016
MolWt,255.665
fr_SH,0
Kappa1,11.591173619756477
Kappa2,4.960836479990573
Kappa3,3.0352995421515283
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,447.2043646861617
MolLogP,0.6878999999999995
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.07497963702644
SMR_VSA1,5.0323138419217255
SMR_VSA2,0.0
SMR_VSA3,15.200676855804016
SMR_VSA4,5.101407525739723
SMR_VSA5,6.544756405912575
SMR_VSA6,13.08951281182515
SMR_VSA7,39.16045728589165
SMR_VSA8,0.0
