DLiP-ID,P000HP
DLiP-Mol-ID,26150
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H21N5O3/c1-12-21(14(3)31-27-12)16-9-18-15(10-20(16)30-4)22-19(11-25-18)26-23(29)28(22)13(2)17-7-5-6-8-24-17/h5-11,13H,1-4H3,(H,26,29)/t13-/m1/s1"
Standard Inchi Key(RDKit),VUVUVNZRUGEAHB-CYBMUJFWSA-N
Canonical SMILES(RDKit),COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),415.453
MW Monoisotopic(RDKit),415.164439532
MolLogP(RDKit),4.16254
XLogP(SDF),
XLogP(CDK),2.69
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),98.83
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.473135512244221
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,18454271.17548299
qed,0.47313551224422074
Chi0,21.69794165489025
Chi1,14.990402300641945
TPSA,98.83
Chi0n,17.63240140690843
Chi0v,17.63240140690843
Chi1n,9.943901781339408
Chi1v,9.943901781339408
Chi2n,7.520023520733353
Chi2v,7.520023520733353
Chi3n,5.667905139428234
Chi3v,5.667905139428234
Chi4n,4.1898336831975636
Chi4v,4.1898336831975636
MolMR,117.4327
MolWt,415.45300000000015
fr_SH,0
Kappa1,19.049067127620802
