DLiP-ID,I001BZ
DLiP-Mol-ID,29725
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H28N4O4/c1-17-16-29(26(33)19-8-5-4-6-9-19)14-15-30(17)25(32)18(2)34-22-12-11-21(24(31)27-3)23-20(22)10-7-13-28-23/h4-13,17-18H,14-16H2,1-3H3,(H,27,31)/t17-,18+/m1/s1"
Standard Inchi Key(RDKit),WRUJNGZEAXMDHO-MSOLQXFVSA-N
Canonical SMILES(RDKit),CNC(=O)c1ccc(O[C@@H](C)C(=O)N2CCN(C(=O)c3ccccc3)C[C@H]2C)c2cccnc12
SMILES(SDF),
MW(SDF),
MW(RDKit),460.534
MW Monoisotopic(RDKit),460.211055376
MolLogP(RDKit),2.7348
XLogP(SDF),
XLogP(CDK),2.894
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.632237862396369
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,50296201.771861725
qed,0.6322378623963691
Chi0,24.241911729260266
Chi1,16.401085903164898
TPSA,91.84
Chi0n,19.52415752219048
Chi0v,19.52415752219048
Chi1n,11.316433281863342
Chi1v,11.316433281863342
Chi2n,8.347879231818705
Chi2v,8.347879231818705
Chi3n,6.071386411160477
Chi3v,6.071386411160477
Chi4n,4.2743283867808755
Chi4v,4.2743283867808755
MolMR,128.74370000000002
MolWt,460.53400000000016
fr_SH,0
Kappa1,23.226004064545247
Kappa2,9.906116026765684
Kappa3,4.568947344873419
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1213.9059917510378
MolLogP,2.7348
NOCount,8
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4595487559180775
