DLiP-ID,T007I0
DLiP-Mol-ID,25596
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20N2O4/c1-20-18-4-2-3-14(21-18)9-10-24-15-6-7-16-13(5-8-19(22)23)12-25-17(16)11-15/h2-4,6-7,11-12H,5,8-10H2,1H3,(H,20,21)(H,22,23)"
Standard Inchi Key(RDKit),XXGGOJFTDMPZAG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CNc1cccc(CCOc2ccc3c(CCC(=O)O)coc3c2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),340.379
MW Monoisotopic(RDKit),340.14230712
MolLogP(RDKit),3.5082
XLogP(SDF),
XLogP(CDK),2.61
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),84.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.652666321959533
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,658822.867193982
qed,0.6526663219595329
Chi0,17.648053602125596
Chi1,12.152198343190413
TPSA,84.59
Chi0n,13.989051071465079
Chi0v,13.989051071465079
Chi1n,8.138956337879574
Chi1v,8.138956337879574
Chi2n,5.675271362471153
Chi2v,5.675271362471153
Chi3n,3.9252219604058665
Chi3v,3.9252219604058665
Chi4n,2.620032668743726
Chi4v,2.620032668743726
MolMR,95.15350000000004
MolWt,340.379
fr_SH,0
Kappa1,16.82442762630243
Kappa2,7.700078434804932
Kappa3,4.288575217083114
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,872.7415255574556
MolLogP,3.5082000000000013
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.6092199515540986
SMR_VSA1,19.055078469765924
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,19.26246486877803
SMR_VSA6,18.97134255119644
SMR_VSA7,53.91874489295417
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.99295505405388
NHOHCount,2
PEOE_VSA1,19.577329889700433
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,36.249741388469445
PEOE_VSA8,37.03583450630408
PEOE_VSA9,12.870044960151976
RingCount,3
SMR_VSA10,22.75641242189392
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,340.14230712
NumHDonors,2
PEOE_VSA10,17.150394752761173
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,29.71436515092987
SlogP_VSA3,17.63618042992384
SlogP_VSA4,0.0
SlogP_VSA5,17.678201109471466
SlogP_VSA6,47.07851634346206
SlogP_VSA7,0.0
SlogP_VSA8,10.969244356107037
