DLiP-ID,C000TM
DLiP-Mol-ID,31348
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H13N3O4S2/c1-25-11-6-4-10(5-7-11)14-13(15(22)12-3-2-8-26-12)16(23)17(24)21(14)18-20-19-9-27-18/h2-9,14,23H,1H3"
Standard Inchi Key(RDKit),OCUOPGYEWAAIOL-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C2C(C(=O)c3cccs3)=C(O)C(=O)N2c2nncs2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),399.453
MW Monoisotopic(RDKit),399.034747896
MolLogP(RDKit),3.3911
XLogP(SDF),
XLogP(CDK),3.652
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),92.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.661319307569468
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2714118.043283447
qed,0.6613193075694681
Chi0,18.965890847321376
Chi1,13.113392202930195
TPSA,92.62
Chi0n,14.026248257025783
Chi0v,15.659241418881235
Chi1n,7.865157783405817
Chi1v,9.624463405915606
Chi2n,5.640863172015774
Chi2v,7.400226507758164
Chi3n,4.183883507643099
Chi3v,5.741367851041985
Chi4n,2.9488031718738648
Chi4v,4.211402346727062
MolMR,101.43430000000001
MolWt,399.4530000000001
fr_SH,0
Kappa1,17.377640377215613
Kappa2,6.934028082136192
Kappa3,2.901613015470324
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1011.581126992216
MolLogP,3.3911000000000016
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8554725663751976
SMR_VSA1,19.4324647167844
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,6.041840829147961
SMR_VSA6,12.009707272128011
SMR_VSA7,69.06167254197669
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.7189429554057
NHOHCount,1
PEOE_VSA1,9.843390348640755
PEOE_VSA2,14.488984098994122
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,21.534149494536813
PEOE_VSA6,29.535887083319565
PEOE_VSA7,29.142615467547742
PEOE_VSA8,0.0
PEOE_VSA9,23.601890094196058
RingCount,4
SMR_VSA10,39.49555491142525
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,399.0347478960001
NumHDonors,1
PEOE_VSA10,11.260051106901285
PEOE_VSA11,5.759164871656176
PEOE_VSA12,10.914803426204273
PEOE_VSA13,5.907179729351506
