DLiP-ID,J000MU
DLiP-Mol-ID,27628
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H15F3N4O4/c1-19(29,11-26-7-6-12-3-5-15(27(30)31)9-17(12)26)18(28)25-14-4-2-13(10-24)16(8-14)20(21,22)23/h2-9,29H,11H2,1H3,(H,25,28)/t19-/m0/s1"
Standard Inchi Key(RDKit),UREUFLLGLJADCO-IBGZPJMESA-N
Canonical SMILES(RDKit),C[C@](O)(Cn1ccc2ccc([N+](=O)[O-])cc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),432.358
MW Monoisotopic(RDKit),432.10453962
MolLogP(RDKit),3.82968
XLogP(SDF),
XLogP(CDK),3.261
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),121.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.46885862168679
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,AR/unknown partner
Common Target Pref Name,AR/unknown partner
RDKit Descriptors
Ipc,5460397.36417394
qed,0.46885862168679027
Chi0,22.974327015758657
Chi1,14.418870648365743
TPSA,121.19
Chi0n,15.973401607122659
Chi0v,15.973401607122659
Chi1n,8.806702675126388
Chi1v,8.806702675126388
Chi2n,7.041771466083899
Chi2v,7.041771466083899
Chi3n,4.638985798371865
Chi3v,4.638985798371865
Chi4n,3.0470187622912093
Chi4v,3.0470187622912093
MolMR,104.00490000000002
MolWt,432.35800000000006
fr_SH,0
Kappa1,21.790626698640708
Kappa2,7.73146840534483
Kappa3,4.486884871336441
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1225.3684913252546
MolLogP,3.8296800000000015
NOCount,8
fr_Ar_N,1
