DLiP-ID,T001LD
DLiP-Mol-ID,17354
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H25N5O4/c1-3-22-18-6-4-5-15(24-18)11-23-20(29)13-7-8-16-14(9-13)12-26(2)21(30)17(25-16)10-19(27)28/h4-9,17,25H,3,10-12H2,1-2H3,(H,22,24)(H,23,29)(H,27,28)/t17-/m0/s1"
Standard Inchi Key(RDKit),FPJWMYIEBRJFFY-KRWDZBQOSA-N
Canonical SMILES(RDKit),CCNc1cccc(CNC(=O)c2ccc3c(c2)CN(C)C(=O)[C@H](CC(=O)O)N3)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),411.462
MW Monoisotopic(RDKit),411.19065428
MolLogP(RDKit),1.6706
XLogP(SDF),
XLogP(CDK),1.92
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),123.66
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.54635117783373
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4669330.4781028805
qed,0.5463511778337297
Chi0,21.672997628507925
Chi1,14.367412398353686
TPSA,123.66
Chi0n,16.936264666965034
Chi0v,16.936264666965034
Chi1n,9.71276408958779
Chi1v,9.71276408958779
Chi2n,7.08818468341271
Chi2v,7.08818468341271
Chi3n,4.752468096840847
Chi3v,4.752468096840847
Chi4n,3.298963926326268
Chi4v,3.298963926326268
MolMR,112.15040000000005
MolWt,411.4620000000001
fr_SH,0
Kappa1,21.097609250477134
Kappa2,9.251803306920067
Kappa3,5.048176317293913
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,962.1629505299667
MolLogP,1.6705999999999996
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.7165971473420707
SMR_VSA1,19.490138947056174
SMR_VSA2,0.0
SMR_VSA3,15.200676855804016
SMR_VSA4,0.0
SMR_VSA5,32.47591246358975
SMR_VSA6,24.226005596602427
SMR_VSA7,53.21903338901211
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,174.03995557029916
NHOHCount,4
PEOE_VSA1,25.956802937710176
PEOE_VSA2,14.383611552215466
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,42.81902403369567
PEOE_VSA8,31.3880225608829
PEOE_VSA9,18.659506023687044
RingCount,3
SMR_VSA10,29.28891379917345
