DLiP-ID,T004WJ
DLiP-Mol-ID,19906
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H26N8O3/c20-19(21)25-10-8-24(9-11-25)7-6-15-12-26(23-22-15)13-17(28)27(14-18(29)30)16-4-2-1-3-5-16/h1-5,12H,6-11,13-14H2,(H3,20,21)(H,29,30)"
Standard Inchi Key(RDKit),PKSRFXQGEIXYJJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)N1CCN(CCc2cn(CC(=O)N(CC(=O)O)c3ccccc3)nn2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),414.47
MW Monoisotopic(RDKit),414.212786692
MolLogP(RDKit),-0.550529999999996
XLogP(SDF),
XLogP(CDK),-1.942
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),144.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.385378199897762
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6318039.797582728
qed,0.38537819989776184
Chi0,21.509860921691388
Chi1,14.41872399336994
TPSA,144.67000000000002
Chi0n,16.645297883247196
Chi0v,16.645297883247196
Chi1n,9.696769574571189
Chi1v,9.696769574571189
Chi2n,7.080559766102573
Chi2v,7.080559766102573
Chi3n,4.942800226442425
Chi3v,4.942800226442425
Chi4n,3.305997528876216
Chi4v,3.305997528876216
MolMR,110.08390000000003
MolWt,414.47000000000014
fr_SH,0
Kappa1,21.243953213231745
Kappa2,9.830877455306018
Kappa3,5.766613175770709
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,6
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,876.9144956719739
MolLogP,-0.5505299999999962
NOCount,11
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.5313682293707185
SMR_VSA1,14.69560176298435
SMR_VSA2,5.409283605791522
SMR_VSA3,24.793689300802047
SMR_VSA4,5.733667477162185
SMR_VSA5,12.965578028838586
SMR_VSA6,44.16844816632592
SMR_VSA7,42.222606908769585
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,173.71438509587776
NHOHCount,4
PEOE_VSA1,15.74010460285337
PEOE_VSA2,24.79817743563612
PEOE_VSA3,4.681802935145185
PEOE_VSA4,0.0
PEOE_VSA5,5.098681808301038
