DLiP-ID,T002T4
DLiP-Mol-ID,19243
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H26N4O4S/c1-17(28)25-12-14-26(15-13-25)23(29)11-9-18-8-10-22(20(16-18)27(30)31)32-21-7-5-4-6-19(21)24(2)3/h4-11,16H,12-15H2,1-3H3/b11-9+"
Standard Inchi Key(RDKit),JHAUMXZLLWOYET-PKNBQFBNSA-N
Canonical SMILES(RDKit),CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccccc3N(C)C)c([N+](=O)[O-])c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),454.552
MW Monoisotopic(RDKit),454.167476312
MolLogP(RDKit),3.5159
XLogP(SDF),
XLogP(CDK),3.569
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),87.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.377128618236615
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,11729503.595912928
qed,0.37712861823661464
Chi0,23.25034789769755
Chi1,15.256927950821467
TPSA,87.0
Chi0n,18.35467538177197
Chi0v,19.171171962699695
Chi1n,10.21147814209019
Chi1v,11.027974723017914
Chi2n,7.613171180194154
Chi2v,8.696948136680978
Chi3n,5.20169810580704
Chi3v,6.331966484640967
Chi4n,3.4130980444416665
Chi4v,4.525928113098343
MolMR,125.85640000000006
MolWt,454.5520000000003
fr_SH,0
Kappa1,23.335572457481213
Kappa2,10.3202164656977
Kappa3,5.670643047515401
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1046.0419480508501
MolLogP,3.515900000000003
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.743485819311677
SMR_VSA1,14.512385416961315
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,16.714704150726174
SMR_VSA6,45.17427931985515
SMR_VSA7,64.21835934652772
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,191.18605735677295
NHOHCount,0
PEOE_VSA1,14.699729192551434
PEOE_VSA2,19.703392636909218
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.960986154775945
PEOE_VSA7,29.838572803915707
PEOE_VSA8,64.23597743950856
PEOE_VSA9,15.506180799019006
RingCount,3
SMR_VSA10,41.02703706429513
fr_Al_COO,0
fr_Ar_COO,0
