DLiP-ID,T003VI
DLiP-Mol-ID,20884
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N4O3/c1-14-11-16(7-8-19(27)28)12-15(2)20(14)26-21(29)17-5-3-6-18(13-17)25-22-23-9-4-10-24-22/h3,5-8,11-13H,4,9-10H2,1-2H3,(H,26,29)(H,27,28)(H2,23,24,25)/b8-7+"
Standard Inchi Key(RDKit),MLEGBHJXMACOKD-BQYQJAHWSA-N
Canonical SMILES(RDKit),Cc1cc(/C=C/C(=O)O)cc(C)c1NC(=O)c1cccc(NC2=NCCCN2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),392.459
MW Monoisotopic(RDKit),392.184840628
MolLogP(RDKit),3.41474
XLogP(SDF),
XLogP(CDK),3.106
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),102.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.584113503285284
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3046230.249614826
qed,0.5841135032852837
Chi0,20.80275414050484
Chi1,13.91872399336994
TPSA,102.82000000000001
Chi0n,16.451046269004294
Chi0v,16.451046269004294
Chi1n,9.411994388522062
Chi1v,9.411994388522062
Chi2n,6.871857842215245
Chi2v,6.871857842215245
Chi3n,4.496664803847074
Chi3v,4.496664803847074
Chi4n,3.1348553920959423
Chi4v,3.1348553920959423
MolMR,115.52540000000005
MolWt,392.4590000000001
fr_SH,0
Kappa1,20.132709961622854
Kappa2,9.05390680205166
Kappa3,5.444356684604203
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
