DLiP-ID,T007GJ
DLiP-Mol-ID,25537
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H25N5O4/c1-15-5-3-4-6-19(15)26-23(32)25-18-9-7-17(8-10-18)13-21(29)27-20-14-28(16(2)24-20)12-11-22(30)31/h3-10,14H,11-13H2,1-2H3,(H,27,29)(H,30,31)(H2,25,26,32)"
Standard Inchi Key(RDKit),XUNPTUWEFIQTRL-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1NC(=O)Nc1ccc(CC(=O)Nc2cn(CCC(=O)O)c(C)n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),435.484
MW Monoisotopic(RDKit),435.19065428
MolLogP(RDKit),3.79984
XLogP(SDF),
XLogP(CDK),1.994
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),125.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.428235828416731
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,12816481.380223282
qed,0.4282358284167306
Chi0,23.087211190881018
Chi1,15.295734091081686
TPSA,125.35
Chi0n,17.88385842415774
Chi0v,17.88385842415774
Chi1n,10.079279063069889
Chi1v,10.079279063069889
Chi2n,7.32641165506226
Chi2v,7.32641165506226
Chi3n,4.779850024602698
Chi3v,4.779850024602698
Chi4n,3.0872817263936363
Chi4v,3.0872817263936363
MolMR,121.81290000000004
MolWt,435.4840000000002
fr_SH,0
Kappa1,22.543094001073996
Kappa2,10.250961476256146
Kappa3,6.42874531479961
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1121.6703583586584
MolLogP,3.7998400000000014
NOCount,9
fr_Ar_N,2
fr_COO2,1
fr_urea,1
BalabanJ,1.5109617773550283
SMR_VSA1,19.490138947056174
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,33.23387405114585
SMR_VSA6,15.950365812018994
SMR_VSA7,71.67908760069989
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
