DLiP-ID,C002WL
DLiP-Mol-ID,33267
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H27N3O3S/c1-3-5-12-21-19(24)17-16(14-27-15-10-8-7-9-11-15)23-26-18(17)20(25)22-13-6-4-2/h7-11H,3-6,12-14H2,1-2H3,(H,21,24)(H,22,25)"
Standard Inchi Key(RDKit),HAINEOCBYMHXCM-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCNC(=O)c1onc(CSc2ccccc2)c1C(=O)NCCCC
SMILES(SDF),
MW(SDF),
MW(RDKit),389.521
MW Monoisotopic(RDKit),389.177312724
MolLogP(RDKit),4.0267
XLogP(SDF),
XLogP(CDK),4.327
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),84.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.447736291535405
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,1413247.8955086477
qed,0.4477362915354048
Chi0,19.484916895309063
Chi1,13.168233757796587
TPSA,84.23
Chi0n,15.916705571609375
Chi0v,16.733202152537103
Chi1n,9.39691003578345
