DLiP-ID,I0014A
DLiP-Mol-ID,29391
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21N3O2S/c1-14(21)19(24)23-20-22-17(13-25-16-10-6-3-7-11-16)18(26-20)12-15-8-4-2-5-9-15/h2-11,14H,12-13,21H2,1H3,(H,22,23,24)/t14-/m0/s1"
Standard Inchi Key(RDKit),SNMREYXKHOXAHO-AWEZNQCLSA-N
Canonical SMILES(RDKit),C[C@H](N)C(=O)Nc1nc(COc2ccccc2)c(Cc2ccccc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),367.474
MW Monoisotopic(RDKit),367.135447912
MolLogP(RDKit),3.5986
XLogP(SDF),
XLogP(CDK),2.599
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),77.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.668831734096961
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,1070956.2714534595
qed,0.668831734096961
Chi0,18.355160383312143
Chi1,12.614193540729627
TPSA,77.24000000000001
Chi0n,14.514375259540156
Chi0v,15.330871840467882
Chi1n,8.383771424966008
Chi1v,9.200268005893735
Chi2n,5.930917172125517
Chi2v,7.01453892825118
Chi3n,3.748208589624943
Chi3v,4.761268788117645
Chi4n,2.356596759163625
Chi4v,3.3586668234241936
MolMR,104.41510000000002
MolWt,367.4740000000001
fr_SH,0
Kappa1,18.101918480213723
Kappa2,8.599552057391051
Kappa3,4.9055865734453326
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,848.0075583456821
MolLogP,3.598600000000002
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7923090180763654
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.733667477162185
SMR_VSA5,25.993281616277514
SMR_VSA6,5.316788604006331
SMR_VSA7,76.79819736486287
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,156.3951335651375
NHOHCount,3
PEOE_VSA1,15.787319034968565
