DLiP-ID,P0005S
DLiP-Mol-ID,23391
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H19N3O2S/c1-19-16(13-4-3-5-14(13)18-19)17-15(20)10-22-12-8-6-11(21-2)7-9-12/h6-9H,3-5,10H2,1-2H3,(H,17,20)"
Standard Inchi Key(RDKit),HLIFAMDWHQBTKJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(SCC(=O)Nc2c3c(nn2C)CCC3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),317.414
MW Monoisotopic(RDKit),317.119797848
MolLogP(RDKit),2.6482
XLogP(SDF),
XLogP(CDK),2.389
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),56.15
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.861482008647341
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BAZ2B/H4
Common Target Pref Name,BAZ2B/H4
RDKit Descriptors
Ipc,163419.93055028984
qed,0.8614820086473413
Chi0,15.526733258565956
Chi1,10.66903509559602
TPSA,56.15
Chi0n,12.7570002638962
Chi0v,13.573496844823927
Chi1n,7.285750428580128
Chi1v,8.271348988233616
Chi2n,5.2633944896943365
Chi2v,6.312149279674992
Chi3n,3.756053758471532
Chi3v,4.7680788835733425
Chi4n,2.6649217382370605
Chi4v,3.3633843905178407
MolMR,87.58070000000002
MolWt,317.41400000000016
fr_SH,0
Kappa1,14.965359341015319
Kappa2,6.437632539071313
Kappa3,3.113864067616065
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,679.4445200206119
MolLogP,2.6482
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5836431300047615
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,9.780484743446223
SMR_VSA4,7.04767198267719
SMR_VSA5,24.157948344295804
SMR_VSA6,18.179439752030653
SMR_VSA7,35.5228477603919
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,133.59253396829283
NHOHCount,1
PEOE_VSA1,10.05365155780638
PEOE_VSA2,9.476340119217006
PEOE_VSA3,0.0
PEOE_VSA4,5.098681808301038
PEOE_VSA5,11.761884949391115
PEOE_VSA6,0.0
PEOE_VSA7,43.52793314262447
PEOE_VSA8,17.50660694989196
PEOE_VSA9,18.556579142872785
RingCount,3
SMR_VSA10,23.48692745657765
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,317.119797848
NumHDonors,1
PEOE_VSA10,11.567374611118932
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.05365155780638
SlogP_VSA2,28.55031562082205
SlogP_VSA3,24.68385241260103
SlogP_VSA4,0.0
SlogP_VSA5,17.678201109471466
SlogP_VSA6,29.160951749364216
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
