DLiP-ID,C000HA
DLiP-Mol-ID,30693
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H18N2O4/c24-20(25)16-5-4-6-18(13-16)23-21(26)22-17-11-9-15(10-12-17)14-27-19-7-2-1-3-8-19/h1-13H,14H2,(H,24,25)(H2,22,23,26)"
Standard Inchi Key(RDKit),VTTXQJYYGCSRQS-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccc(COc2ccccc2)cc1)Nc1cccc(C(=O)O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),362.385
MW Monoisotopic(RDKit),362.126657056
MolLogP(RDKit),4.6078
XLogP(SDF),
XLogP(CDK),3.722
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),87.66
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.597544353403308
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1463995.5950589268
qed,0.5975443534033078
Chi0,19.062267164498692
Chi1,13.09735678832402
TPSA,87.66000000000001
Chi0n,14.384618747543234
Chi0v,14.384618747543234
Chi1n,8.281625771248656
Chi1v,8.281625771248656
