DLiP-ID,C000E9
DLiP-Mol-ID,30695
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13NO3S/c19-16-15(22-17(20)18-16)10-13-8-4-5-9-14(13)21-11-12-6-2-1-3-7-12/h1-10H,11H2,(H,18,19,20)/b15-10-"
Standard Inchi Key(RDKit),CAHCXHIKGCIUCO-GDNBJRDFSA-N
Canonical SMILES(RDKit),O=C1NC(=O)/C(=C/c2ccccc2OCc2ccccc2)S1
SMILES(SDF),
MW(SDF),
MW(RDKit),311.362
MW Monoisotopic(RDKit),311.061614276
MolLogP(RDKit),3.5895
XLogP(SDF),
XLogP(CDK),3.096
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.876775297022497
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,158812.60995371846
qed,0.8767752970224972
Chi0,15.363596551749426
Chi1,10.720346690612276
TPSA,55.400000000000006
Chi0n,11.61360263493826
Chi0v,12.430099215865987
Chi1n,6.7282333922499555
Chi1v,7.544729973177682
Chi2n,4.6643318122356945
Chi2v,5.679073174993672
Chi3n,3.0848102511131983
Chi3v,3.8954274686392445
Chi4n,2.0288158817292605
Chi4v,2.7019016627422596
MolMR,86.32270000000003
MolWt,311.36199999999997
fr_SH,0
Kappa1,14.409060124188409
Kappa2,6.4907134088959255
Kappa3,3.375302624806011
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,740.5790869575228
MolLogP,3.589500000000002
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.797551944058282
SMR_VSA1,14.325937321943693
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,6.606881964512918
SMR_VSA6,0.0
SMR_VSA7,70.62934311343854
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,131.72733535039825
NHOHCount,1
PEOE_VSA1,4.736862953800049
PEOE_VSA2,14.905862972149976
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,29.4677236163836
PEOE_VSA8,5.563451491696996
PEOE_VSA9,4.905136513890047
RingCount,3
SMR_VSA10,28.98429649874879
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
