DLiP-ID,T003KA
DLiP-Mol-ID,20412
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H25N3O5/c24-22(26-7-9-30-10-8-26)16-1-3-17(4-2-16)23(29)25-19-5-6-20-18(13-19)11-15(14-31-20)12-21(27)28/h1-6,13,15,24H,7-12,14H2,(H,25,29)(H,27,28)"
Standard Inchi Key(RDKit),LOLMVTRGQZKBHS-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(c1ccc(C(=O)Nc2ccc3c(c2)CC(CC(=O)O)CO3)cc1)N1CCOCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),423.469
MW Monoisotopic(RDKit),423.1794209
MolLogP(RDKit),2.62227
XLogP(SDF),
XLogP(CDK),2.882
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),111.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.503522253202502
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,12153181.258568855
qed,0.5035222532025019
Chi0,21.79431797206756
Chi1,14.991203638441373
TPSA,111.95000000000002
Chi0n,17.09596997467821
Chi0v,17.09596997467821
Chi1n,10.299319696350508
Chi1v,10.299319696350508
Chi2n,7.7810201583991585
Chi2v,7.7810201583991585
Chi3n,5.512616906462413
Chi3v,5.512616906462413
Chi4n,3.865405473962178
Chi4v,3.865405473962178
MolMR,114.99970000000003
MolWt,423.4690000000003
fr_SH,0
Kappa1,20.86553364929436
Kappa2,9.176812496224036
Kappa3,5.029001812997885
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,983.2065062295299
MolLogP,2.622270000000001
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.401634811288771
SMR_VSA1,24.169327670584448
SMR_VSA2,5.409283605791522
SMR_VSA3,4.899909730850478
SMR_VSA4,5.917906046161393
SMR_VSA5,12.841643245852019
SMR_VSA6,38.22694730937024
SMR_VSA7,59.15492395432226
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,179.83061354123876
NHOHCount,3
PEOE_VSA1,24.796951637297614
PEOE_VSA2,14.998357973935164
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,42.316108456931055
PEOE_VSA8,35.8217081160641
PEOE_VSA9,26.241467516464766
RingCount,4
SMR_VSA10,23.399491077744187
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,423.17942089999997
NumHDonors,3
PEOE_VSA10,11.585131619041174
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,60.6287006341157
SlogP_VSA3,15.95222176079788
SlogP_VSA4,11.327189651952915
SlogP_VSA5,27.90571328208882
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,18.24590739843891
EState_VSA3,56.417437880427734
EState_VSA4,16.876414816677897
EState_VSA5,0.0
EState_VSA6,36.39820241076966
EState_VSA7,10.966276799312087
EState_VSA8,5.316788604006331
EState_VSA9,19.989536908232324
SlogP_VSA10,5.687386274683562
