DLiP-ID,C000LH
DLiP-Mol-ID,30997
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18N2O4/c1-23-16-9-8-14(10-18(16)24-2)17-11-15(21-25-17)19(22)20-12-13-6-4-3-5-7-13/h3-11H,12H2,1-2H3,(H,20,22)"
Standard Inchi Key(RDKit),JBWACLDXMJFSBR-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2cc(C(=O)NCc3ccccc3)no2)cc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),338.363
MW Monoisotopic(RDKit),338.126657056
MolLogP(RDKit),3.2888
XLogP(SDF),
XLogP(CDK),3.292
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.746447731661944
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,794132.3322906968
qed,0.7464477316619441
Chi0,17.6480536021256
Chi1,12.207039898056806
TPSA,73.59
Chi0n,13.983465961248593
Chi0v,13.983465961248593
Chi1n,7.722348670052205
Chi1v,7.722348670052205
Chi2n,5.314441562346607
Chi2v,5.314441562346607
Chi3n,3.706744855475077
Chi3v,3.706744855475077
Chi4n,2.3765201427389053
Chi4v,2.3765201427389053
MolMR,92.65520000000004
MolWt,338.3630000000001
fr_SH,0
Kappa1,16.573336707910446
Kappa2,7.526221268404661
Kappa3,3.7987536757658518
fr_ArN,0
