DLiP-ID,T003AW
DLiP-Mol-ID,19996
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20Cl2N2O5S/c1-13(27)26-12-32-11-20(26)21(28)25-19(22(29)30)9-14-5-7-15(8-6-14)31-10-16-17(23)3-2-4-18(16)24/h2-9,20H,10-12H2,1H3,(H,25,28)(H,29,30)/b19-9+"
Standard Inchi Key(RDKit),KSQHLJAEFQEBEB-DJKKODMXSA-N
Canonical SMILES(RDKit),CC(=O)N1CSCC1C(=O)N/C(=C/c1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),495.384
MW Monoisotopic(RDKit),494.0469981
MolLogP(RDKit),4.0355
XLogP(SDF),
XLogP(CDK),4.177
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),95.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.56351747971499
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,13982820.960033717
qed,0.56351747971499
Chi0,23.250347897697548
Chi1,15.256927950821467
TPSA,95.94000000000001
Chi0n,17.00907035560396
Chi0v,19.337424828568597
Chi1n,9.525337934729135
Chi1v,11.435967419126845
Chi2n,6.914832422056637
Chi2v,8.729013189082206
Chi3n,4.71367520818642
Chi3v,6.434079956713731
Chi4n,2.9902102694793244
Chi4v,4.715198381993489
MolMR,124.62450000000001
MolWt,495.38400000000024
fr_SH,0
Kappa1,23.972148383024322
