DLiP-ID,T007G8
DLiP-Mol-ID,25526
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H32N4O5/c1-13(2)18(25-19(27)14(3)23)21(29)26-11-7-10-17(26)20(28)24-16(22(30)31)12-15-8-5-4-6-9-15/h4-6,8-9,13-14,16-18H,7,10-12,23H2,1-3H3,(H,24,28)(H,25,27)(H,30,31)/t14-,16-,17-,18-/m0/s1"
Standard Inchi Key(RDKit),XUBVKHIPJRETSS-DKIMLUQUSA-N
Canonical SMILES(RDKit),CC(C)[C@H](NC(=O)[C@H](C)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),432.521
MW Monoisotopic(RDKit),432.237270124
MolLogP(RDKit),0.277500000000004
XLogP(SDF),
XLogP(CDK),-1.405
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),141.83
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.44148661218346
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,5779735.4961964805
qed,0.44148661218346047
Chi0,23.129027554137902
Chi1,14.611968660678597
TPSA,141.82999999999998
Chi0n,18.206700438687445
Chi0v,18.206700438687445
Chi1n,10.549638688040067
Chi1v,10.549638688040067
Chi2n,8.297744157119032
Chi2v,8.297744157119032
Chi3n,5.379807935006063
Chi3v,5.379807935006063
Chi4n,3.597778049834799
Chi4v,3.597778049834799
MolMR,114.86560000000006
MolWt,432.5210000000001
fr_SH,0
Kappa1,24.330555875803864
Kappa2,10.900306879860986
Kappa3,6.518209346116158
fr_ArN,0
fr_COO,1
fr_C_O,4
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,796.3508157695671
MolLogP,0.2775000000000036
NOCount,9
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1079778526665947
SMR_VSA1,24.284676131127995
SMR_VSA2,0.0
SMR_VSA3,15.533486938863138
SMR_VSA4,11.651573523323577
