DLiP-ID,J0000M
DLiP-Mol-ID,26707
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24F3N3O3/c1-15(29)31-20-14-28(13-16-6-3-2-4-7-16)11-10-19(20)27-21(30)26-18-9-5-8-17(12-18)22(23,24)25/h2-9,12,19-20H,10-11,13-14H2,1H3,(H2,26,27,30)/t19-,20-/m0/s1"
Standard Inchi Key(RDKit),IPFPLJWEHXXRJQ-PMACEKPBSA-N
Canonical SMILES(RDKit),CC(=O)O[C@H]1CN(Cc2ccccc2)CC[C@@H]1NC(=O)Nc1cccc(C(F)(F)F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),435.446
MW Monoisotopic(RDKit),435.176976288
MolLogP(RDKit),4.0331
XLogP(SDF),
XLogP(CDK),3.657
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),70.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.696047406396899
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,6181968.607412395
qed,0.6960474063968992
Chi0,22.43251065250177
Chi1,14.70252850384656
TPSA,70.67
Chi0n,16.985131971751308
Chi0v,16.985131971751308
Chi1n,9.887813950673692
Chi1v,9.887813950673692
Chi2n,7.440791845386445
Chi2v,7.440791845386445
Chi3n,4.973859699780739
Chi3v,4.973859699780739
Chi4n,3.5723160671490684
Chi4v,3.5723160671490684
MolMR,109.27640000000004
MolWt,435.44600000000014
fr_SH,0
Kappa1,22.61154349233857
Kappa2,9.824707059184261
Kappa3,6.7136358043259365
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,905.6192932513391
MolLogP,4.033100000000003
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.6127967698275125
SMR_VSA1,27.497182464968155
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,38.21142096286895
SMR_VSA6,18.406301415831482
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,177.92484099179043
NHOHCount,2
PEOE_VSA1,15.37044016181271
PEOE_VSA2,9.694446914922299
PEOE_VSA3,4.794537184071822
PEOE_VSA4,13.171245143024459
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,30.183374320007832
PEOE_VSA8,32.24539269211191
PEOE_VSA9,11.605292320844956
RingCount,3
SMR_VSA10,17.687806074973484
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,435.176976288
NumHDonors,2
PEOE_VSA10,6.103966387748303
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,18.176718317733396
SlogP_VSA1,10.633577208012662
SlogP_VSA2,42.13564955986181
SlogP_VSA3,22.25245506122792
SlogP_VSA4,0.0
SlogP_VSA5,24.471461806010623
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,3
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
