DLiP-ID,T003T9
DLiP-Mol-ID,20801
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H17N3O3/c12-10(16)8-3-2-6-14(8)11(17)9-4-1-5-13(9)7-15/h7-9H,1-6H2,(H2,12,16)/t8-,9+/m0/s1"
Standard Inchi Key(RDKit),MGEMMJCAEUNTLU-DTWKUNHWSA-N
Canonical SMILES(RDKit),NC(=O)[C@@H]1CCCN1C(=O)[C@H]1CCCN1C=O
SMILES(SDF),
MW(SDF),
MW(RDKit),239.275
MW Monoisotopic(RDKit),239.126991404
MolLogP(RDKit),-0.916499999999999
XLogP(SDF),
XLogP(CDK),-1.198
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),83.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.646624542585151
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,11185.32608427667
qed,0.6466245425851509
Chi0,12.41384908344359
Chi1,8.147065707741406
TPSA,83.71000000000001
Chi0n,9.671213826269296
Chi0v,9.671213826269296
Chi1n,5.957131534596683
Chi1v,5.957131534596683
Chi2n,4.593289132034413
Chi2v,4.593289132034413
Chi3n,3.5789620346025304
Chi3v,3.5789620346025304
Chi4n,2.6980707241575352
Chi4v,2.6980707241575352
MolMR,59.721400000000024
MolWt,239.27499999999998
fr_SH,0
Kappa1,11.882653637498278
Kappa2,4.728448999239273
Kappa3,2.112756671430847
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,344.8533573695765
MolLogP,-0.9164999999999994
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.083845649400508
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,5.733667477162185
SMR_VSA5,37.76696814999996
SMR_VSA6,13.08951281182515
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,99.72113420228793
NHOHCount,2
PEOE_VSA1,15.533486938863142
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,25.683286491704038
PEOE_VSA8,13.08951281182515
PEOE_VSA9,0.0
