DLiP-ID,C000VS
DLiP-Mol-ID,31445
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H12ClNO4/c12-7-3-1-6(2-4-7)8(5-9(14)15)10(13)11(16)17/h1-4,8,10H,5,13H2,(H,14,15)(H,16,17)/t8-,10-/m1/s1"
Standard Inchi Key(RDKit),ZHXBCPSYEAQEHB-PSASIEDQSA-N
Canonical SMILES(RDKit),N[C@@H](C(=O)O)[C@H](CC(=O)O)c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),257.673
MW Monoisotopic(RDKit),257.045485544
MolLogP(RDKit),1.3102
XLogP(SDF),
XLogP(CDK),-1.347
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),100.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.738321630992872
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4612.334474382339
qed,0.7383216309928718
Chi0,12.999635521070495
Chi1,7.913591357920932
TPSA,100.62000000000002
Chi0n,8.837446910450799
Chi0v,9.593375856469255
Chi1n,4.871629944427783
Chi1v,5.24959441743701
Chi2n,3.619928075370799
Chi2v,4.0563638558427835
Chi3n,2.411337306587934
Chi3v,2.6633136219274194
Chi4n,1.5223614359828233
Chi4v,1.6483495936525658
MolMR,62.057000000000016
MolWt,257.673
fr_SH,0
Kappa1,13.474892926670993
Kappa2,5.6531199675558765
Kappa3,3.7245343586729573
fr_ArN,0
fr_COO,2
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,417.9845369156576
MolLogP,1.3102
NOCount,5
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,3.0059635947976955
SMR_VSA1,19.802129157825057
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,18.380568498235363
SMR_VSA6,0.0
SMR_VSA7,34.85155307928476
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,102.81078231985396
NHOHCount,4
PEOE_VSA1,15.946722266843596
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.733674027155736
PEOE_VSA7,17.696185628620217
PEOE_VSA8,10.940539359902719
PEOE_VSA9,6.4208216229260096
RingCount,1
SMR_VSA10,23.539550466136212
fr_Al_COO,2
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,257.04548554400003
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,11.938610575903699
SlogP_VSA1,5.733667477162185
SlogP_VSA2,28.193506194733068
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,17.9021791607844
SlogP_VSA6,24.26546827384644
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
