DLiP-ID,T003ZJ
DLiP-Mol-ID,21059
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H14BrN3O3/c18-12-5-11(7-19-9-12)16(22)21-15(17(23)24)6-10-8-20-14-4-2-1-3-13(10)14/h1-5,7-9,15,20H,6H2,(H,21,22)(H,23,24)/t15-/m0/s1"
Standard Inchi Key(RDKit),MTAMFBBQVVVJNN-HNNXBMFYSA-N
Canonical SMILES(RDKit),O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1cncc(Br)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),388.221
MW Monoisotopic(RDKit),387.021853408
MolLogP(RDKit),2.7511
XLogP(SDF),
XLogP(CDK),0.268000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),95.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.626548445692559
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,363223.8440375844
qed,0.6265484456925593
Chi0,17.10408352775558
Chi1,11.541713895658194
TPSA,95.08
Chi0n,12.492147448830051
Chi0v,14.078143987944756
Chi1n,7.235788131218046
Chi1v,8.028786400775399
Chi2n,5.319740721623597
Chi2v,6.235416250415287
Chi3n,3.669443739244949
Chi3v,4.103113894213999
Chi4n,2.4981046522304267
Chi4v,2.8629436740402765
MolMR,92.82970000000002
MolWt,388.22100000000006
fr_SH,0
Kappa1,16.197057917220064
Kappa2,6.83802145921163
Kappa3,3.4592297387217585
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,906.7419756818655
MolLogP,2.7511
NOCount,6
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.8015970234307728
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,15.284745645900749
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,0.0
SMR_VSA7,64.52198855637369
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,145.59342645837637
NHOHCount,3
PEOE_VSA1,15.407294519794245
PEOE_VSA2,9.77851570501903
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,33.626129526569564
PEOE_VSA8,40.38699678567871
PEOE_VSA9,5.563451491696996
RingCount,3
SMR_VSA10,38.709353847333766
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,387.021853408
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,32.99281028318644
SlogP_VSA3,11.21535880699783
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
SlogP_VSA6,53.395085572979696
