DLiP-ID,C000BK
DLiP-Mol-ID,30574
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H11N3O2/c20-16-13(9-5-1-3-7-11(9)18-16)15-14(19-21)10-6-2-4-8-12(10)17-15/h1-8,17-18,20H"
Standard Inchi Key(RDKit),FQCPPVRJPILDIK-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),277.283
MW Monoisotopic(RDKit),277.085126592
MolLogP(RDKit),4.4197
XLogP(SDF),
XLogP(CDK),4.579
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),81.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.473905059066131
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,144176.9759686507
qed,0.4739050590661312
Chi0,14.396976746569035
Chi1,10.292024997884276
TPSA,81.23999999999998
Chi0n,10.92147763498079
Chi0v,10.92147763498079
Chi1n,6.5344883197142645
Chi1v,6.5344883197142645
Chi2n,4.879668252382906
Chi2v,4.879668252382906
Chi3n,3.7062217998329228
Chi3v,3.7062217998329228
Chi4n,2.783686399681464
Chi4v,2.783686399681464
MolMR,82.71120000000002
MolWt,277.283
fr_SH,0
Kappa1,11.722368304640462
Kappa2,4.208823562666065
Kappa3,1.5738564138289763
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,981.6920974950622
MolLogP,4.4197000000000015
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.134871475310505
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
