DLiP-ID,C1023H
DLiP-Mol-ID,40803
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H18N6S/c1-2-12-10-13-14(19-11-20-15(13)23-12)21-6-8-22(9-7-21)16-17-4-3-5-18-16/h3-5,10-11H,2,6-9H2,1H3"
Standard Inchi Key(RDKit),HSOAGWHNYSIYIJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1cc2c(N3CCN(c4ncccn4)CC3)ncnc2s1
SMILES(SDF),
MW(SDF),
MW(RDKit),326.429
MW Monoisotopic(RDKit),326.131365576
MolLogP(RDKit),2.3703
XLogP(SDF),
XLogP(CDK),2.12
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),58.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.736365659719153
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,436270.4358877856
qed,0.7363656597191529
Chi0,15.6480536021256
Chi1,11.347667890550102
TPSA,58.040000000000006
Chi0n,13.013815115344482
Chi0v,13.830311696272208
Chi1n,7.852272807655848
Chi1v,8.668769388583572
Chi2n,5.505257008582661
Chi2v,6.620456879871908
Chi3n,4.122066847980169
Chi3v,5.309453433954062
Chi4n,2.8919640292315965
Chi4v,3.82144132985133
MolMR,93.25100000000003
MolWt,326.42900000000003
fr_SH,0
Kappa1,14.321028298104077
Kappa2,6.0777588936310325
Kappa3,2.7191519403842896
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,6
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,794.6954923191613
MolLogP,2.3703000000000003
NOCount,6
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.5544383890202211
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,19.935914083788834
SMR_VSA4,0.0
SMR_VSA5,13.344558822616634
