DLiP-ID,I001ET
DLiP-Mol-ID,29855
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H37FN4O3/c1-16(30-5)25(34)32-24(28(2,3)4)27(36)33-15-14-17-10-13-22(23(17)33)31-26(35)20-11-12-21(29)19-9-7-6-8-18(19)20/h6-9,11-12,16-17,22-24,30H,10,13-15H2,1-5H3,(H,31,35)(H,32,34)/t16-,17+,22-,23-,24+/m0/s1"
Standard Inchi Key(RDKit),YAJNIUXPYCFLBK-SBWRPUSSSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3ccc(F)c4ccccc34)[C@H]21)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),496.627
MW Monoisotopic(RDKit),496.284969264
MolLogP(RDKit),3.227
XLogP(SDF),
XLogP(CDK),4.016
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),90.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.5728939928745
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,101800307.31784943
qed,0.5728939928744999
Chi0,26.197941654890254
Chi1,17.02309437109304
TPSA,90.53999999999999
Chi0n,21.729203025732854
Chi0v,21.729203025732854
Chi1n,12.788234612243734
Chi1v,12.788234612243734
Chi2n,11.186803604925087
Chi2v,11.186803604925087
Chi3n,7.785307493841378
Chi3v,7.785307493841378
Chi4n,5.638408197649277
Chi4v,5.638408197649277
MolMR,137.9095999999999
MolWt,496.62700000000024
fr_SH,0
Kappa1,26.074074074074073
Kappa2,10.16595041322314
Kappa3,4.96
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1161.1793066261266
MolLogP,3.227000000000002
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5505286501410949
SMR_VSA1,18.774026599890284
SMR_VSA2,0.0
SMR_VSA3,20.850275542869472
SMR_VSA4,11.332896515558172
SMR_VSA5,71.12477698413235
SMR_VSA6,13.592428388589765
SMR_VSA7,47.77887474351255
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,211.72988532739765
NHOHCount,3
PEOE_VSA1,20.850275542869472
