DLiP-ID,C001HP
DLiP-Mol-ID,32383
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13BrN2O2/c1-21-12-5-6-16(20)13(8-12)15-9-14(18-19-15)10-3-2-4-11(17)7-10/h2-9,20H,1H3,(H,18,19)"
Standard Inchi Key(RDKit),AMXKDIKRDYCVLR-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(O)c(-c2cc(-c3cccc(Br)c3)[nH]n2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),345.196
MW Monoisotopic(RDKit),344.016039756
MolLogP(RDKit),4.2204
XLogP(SDF),
XLogP(CDK),4.91
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),58.14
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.74725083424616
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,99639.6565950612
qed,0.7472508342461599
Chi0,14.819626477379408
Chi1,10.16903509559602
TPSA,58.14
Chi0n,11.299442107990014
Chi0v,12.885438647104719
Chi1n,6.3589264113984765
Chi1v,7.151924680955829
Chi2n,4.560286777778574
Chi2v,5.475962306570263
Chi3n,3.1931568613987142
Chi3v,3.686408500115754
Chi4n,2.110878718471103
Chi4v,2.5101171259615715
MolMR,85.37650000000001
MolWt,345.19599999999997
fr_SH,0
Kappa1,13.701138118584822
Kappa2,5.614496289002639
Kappa3,2.779259192223065
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,783.4530831736038
MolLogP,4.2204000000000015
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.022362463929336
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,7.109797541277533
SMR_VSA7,53.0036560635253
SMR_VSA8,0.0
SMR_VSA9,34.01378263965873
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,130.08312220373142
NHOHCount,2
PEOE_VSA1,9.843390348640755
PEOE_VSA2,5.098681808301038
PEOE_VSA3,0.0
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,28.06267803487257
PEOE_VSA7,36.39820241076966
PEOE_VSA8,15.599622499226406
PEOE_VSA9,18.497653530974457
RingCount,3
SMR_VSA10,15.929943897949348
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,344.01603975600005
NumHDonors,2
PEOE_VSA10,11.49902366656781
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.736862953800049
SlogP_VSA2,22.413688552720316
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,53.0036560635253
SlogP_VSA7,0.0
SlogP_VSA8,22.514758973090913
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
