DLiP-ID,C001QM
DLiP-Mol-ID,32776
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H8ClN3O2/c14-9-3-1-8(2-4-9)13-15-11-6-5-10(17(18)19)7-12(11)16-13/h1-7H,(H,15,16)"
Standard Inchi Key(RDKit),KJXNOHLXULKUIZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1ccc2[nH]c(-c3ccc(Cl)cc3)nc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),273.679
MW Monoisotopic(RDKit),273.030504176
MolLogP(RDKit),3.7915
XLogP(SDF),
XLogP(CDK),3.784
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.570155930196802
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,33987.00103044288
qed,0.5701559301968019
Chi0,13.405412915006313
Chi1,9.131030293135234
TPSA,71.82
Chi0n,9.630340129264251
Chi0v,10.386269075282705
Chi1n,5.534352078183166
Chi1v,5.912316551192393
Chi2n,4.050865009226179
Chi2v,4.487300789698164
Chi3n,2.795118241974048
Chi3v,3.047094557313533
Chi4n,1.8522379953536237
Chi4v,1.9782261530233662
MolMR,73.19410000000002
MolWt,273.67900000000003
fr_SH,0
Kappa1,11.67700312174818
Kappa2,4.365280403276624
Kappa3,2.15397294634059
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
