DLiP-ID,I001EE
DLiP-Mol-ID,29840
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H34N4O3/c1-2-21(28)25(32)29-22-15-9-14-20-16-17-23(31(20)27(22)34)26(33)30-24(18-10-5-3-6-11-18)19-12-7-4-8-13-19/h3-8,10-13,20-24H,2,9,14-17,28H2,1H3,(H,29,32)(H,30,33)/t20-,21-,22+,23-/m0/s1"
Standard Inchi Key(RDKit),XWYMWLGPGRAJLM-GPJHCHHRSA-N
Canonical SMILES(RDKit),CC[C@H](N)C(=O)N[C@@H]1CCC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),462.594
MW Monoisotopic(RDKit),462.263090948
MolLogP(RDKit),2.6578
XLogP(SDF),
XLogP(CDK),3.303
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),104.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.588360000613854
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,60866406.89333397
qed,0.5883600006138535
Chi0,24.078775022443736
Chi1,16.49040230064194
TPSA,104.53
Chi0n,19.65220346104485
Chi0v,19.65220346104485
Chi1n,12.276151726988905
Chi1v,12.276151726988905
Chi2n,9.262266769688493
Chi2v,9.262266769688493
Chi3n,7.033368970815505
Chi3v,7.033368970815505
Chi4n,5.1049141142272685
Chi4v,5.1049141142272685
