DLiP-ID,C101EY
DLiP-Mol-ID,34723
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H24Cl2N2O2/c24-18-8-6-15(7-9-18)22-20(16-2-1-3-19(25)10-16)11-17(12-21(26)28)23(29)27(22)13-14-4-5-14/h1-3,6-10,14,17,20,22H,4-5,11-13H2,(H2,26,28)/t17-,20-,22-/m1/s1"
Standard Inchi Key(RDKit),DZWDWMPZRDOZSQ-NQSCKRDGSA-N
Canonical SMILES(RDKit),NC(=O)C[C@H]1C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),431.363
MW Monoisotopic(RDKit),430.121483368
MolLogP(RDKit),4.9522
XLogP(SDF),
XLogP(CDK),4.045
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),63.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.703462602674765
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,6270571.650979811
qed,0.7034626026747647
Chi0,20.543241116511002
Chi1,13.918723993369941
TPSA,63.400000000000006
Chi0n,16.060726527844015
Chi0v,17.572584419880926
Chi1n,10.018057632167942
Chi1v,10.773986578186397
Chi2n,8.19492486709521
Chi2v,9.06779642803918
Chi3n,5.9754358474955485
Chi3v,6.462509265622772
Chi4n,4.448483849932659
Chi4v,4.773199462017475
MolMR,114.74140000000006
MolWt,431.36300000000017
fr_SH,0
Kappa1,20.241637644139672
Kappa2,8.369094710138508
Kappa3,4.593443240279005
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,911.3487832066335
MolLogP,4.952200000000005
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7837351687524245
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,17.56947956948497
SMR_VSA5,37.64303336701339
SMR_VSA6,6.544756405912575
SMR_VSA7,69.70310615856953
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,180.5204992979322
NHOHCount,2
PEOE_VSA1,10.633577208012664
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,47.46734805431147
PEOE_VSA7,60.57274217217986
