DLiP-ID,C001PJ
DLiP-Mol-ID,32717
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H12N6O6/c15-14(16)18-17-9(1-3-10-5-7-12(25-10)19(21)22)2-4-11-6-8-13(26-11)20(23)24/h1-8H,(H4,15,16,18)/b3-1+,4-2+"
Standard Inchi Key(RDKit),XQCFHQBGMWUEMY-ZPUQHVIOSA-N
Canonical SMILES(RDKit),N=C(N)NN=C(/C=C/c1ccc([N+](=O)[O-])o1)/C=C/c1ccc([N+](=O)[O-])o1
SMILES(SDF),
MW(SDF),
MW(RDKit),360.286
MW Monoisotopic(RDKit),360.081832104
MolLogP(RDKit),2.25467
XLogP(SDF),
XLogP(CDK),2.42
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),12
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),186.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.289882739566969
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,664728.9083356097
qed,0.28988273956696925
Chi0,19.10408352775558
Chi1,12.346244348298507
TPSA,186.82
Chi0n,12.987282951989688
Chi0v,12.987282951989688
Chi1n,6.872630059954515
Chi1v,6.872630059954515
Chi2n,4.595037727596077
Chi2v,4.595037727596077
Chi3n,2.727257048860835
Chi3v,2.727257048860835
Chi4n,1.6497160648161857
Chi4v,1.6497160648161857
MolMR,91.27760000000002
MolWt,360.2860000000001
fr_SH,0
Kappa1,18.123477057721257
Kappa2,8.049897157178384
Kappa3,5.156962974593434
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,857.762203187733
MolLogP,2.25467
NOCount,12
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1850369837889634
SMR_VSA1,18.680923971742036
SMR_VSA2,5.409283605791522
SMR_VSA3,5.425791397110385
SMR_VSA4,10.835075002901908
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,68.16663986279423
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,2
fr_imide,0
fr_nitro,2
fr_oxime,0
fr_quatN,0
LabuteASA,144.63411630670606
NHOHCount,4
PEOE_VSA1,14.567969351268879
PEOE_VSA2,25.637920143322667
PEOE_VSA3,5.425791397110385
PEOE_VSA4,5.101407525739723
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,36.436814564258746
PEOE_VSA8,0.0
PEOE_VSA9,17.844419139693922
RingCount,2
SMR_VSA10,35.59164418890431
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,360.08183210399994
NumHDonors,3
PEOE_VSA10,21.367116935384225
PEOE_VSA11,0.0
PEOE_VSA12,5.959554568743835
