DLiP-ID,P000AK
DLiP-Mol-ID,24596
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H22N2O5/c1-11-7-13(8-12(2)18(11)27-6-5-23)19-21-15-9-14(25-3)10-16(26-4)17(15)20(24)22-19/h7-10,23H,5-6H2,1-4H3,(H,21,22,24)"
Standard Inchi Key(RDKit),NETXMUIMUZJUTB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),370.405
MW Monoisotopic(RDKit),370.152871804
MolLogP(RDKit),2.59524
XLogP(SDF),
XLogP(CDK),2.647
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),93.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.69271651771823
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,1134167.6534399071
qed,0.6927165177182298
Chi0,19.55167728494828
Chi1,12.97709550808647
TPSA,93.67
Chi0n,15.75103499198697
Chi0v,15.75103499198697
Chi1n,8.494510734725568
Chi1v,8.494510734725568
Chi2n,6.149552870286847
Chi2v,6.149552870286847
Chi3n,4.2731898736885015
Chi3v,4.2731898736885015
Chi4n,3.0889429782556936
Chi4v,3.0889429782556936
MolMR,102.95850000000003
MolWt,370.40500000000014
fr_SH,0
Kappa1,18.722809983777285
Kappa2,7.671353698053889
Kappa3,3.589044923157551
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1019.4520096743271
MolLogP,2.5952400000000004
NOCount,7
fr_Ar_N,2
fr_COO2,0
