DLiP-ID,C000TA
DLiP-Mol-ID,31330
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H8BrN3O4S2/c14-7-4-5-9(8(6-7)13(18)19)17-23(20,21)11-3-1-2-10-12(11)16-22-15-10/h1-6,17H,(H,18,19)"
Standard Inchi Key(RDKit),ZFMGFZJIHDSKHL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cc(Br)ccc1NS(=O)(=O)c1cccc2nsnc12
SMILES(SDF),
MW(SDF),
MW(RDKit),414.262
MW Monoisotopic(RDKit),412.913959836
MolLogP(RDKit),2.9528
XLogP(SDF),
XLogP(CDK),3.744
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),109.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.679605894735763
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,184508.19456615145
qed,0.6796058947357627
Chi0,16.61251969619286
Chi1,10.881847280265067
TPSA,109.25
Chi0n,11.224948326966173
Chi0v,14.44393802793633
