DLiP-ID,P000DT
DLiP-Mol-ID,25301
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H15BrN2O4S/c1-9-6-15-12(10(2)18-23-15)8-13(9)19-24(20,21)16-7-11(17)4-5-14(16)22-3/h4-8,19H,1-3H3"
Standard Inchi Key(RDKit),RCOJVDOCGJOAAU-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(Br)cc1S(=O)(=O)Nc1cc2c(C)noc2cc1C
SMILES(SDF),
MW(SDF),
MW(RDKit),411.277
MW Monoisotopic(RDKit),409.99359006
MolLogP(RDKit),4.01654
XLogP(SDF),
XLogP(CDK),3.913
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),81.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.701627364642536
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,258923.83646125527
qed,0.7016273646425362
Chi0,17.48276318419594
Chi1,11.313698932843204
TPSA,81.43
Chi0n,13.25317086677663
Chi0v,15.65566398681906
Chi1n,7.045975834906408
Chi1v,9.322137352058153
Chi2n,5.331953261544646
Chi2v,7.898452916582266
Chi3n,3.6567951965069896
Chi3v,5.536754330259497
Chi4n,2.376765208829727
