DLiP-ID,P000E2
DLiP-Mol-ID,25416
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22Cl2N2O2/c1-14(27)26-9-3-5-16(13-26)22(12-15-4-2-6-17(23)10-15)19-8-7-18(24)11-20(19)25-21(22)28/h2,4,6-8,10-11,16H,3,5,9,12-13H2,1H3,(H,25,28)/t16-,22-/m0/s1"
Standard Inchi Key(RDKit),RIBYLXUNNWIWJK-AOMKIAJQSA-N
Canonical SMILES(RDKit),CC(=O)N1CCC[C@H]([C@]2(Cc3cccc(Cl)c3)C(=O)Nc3cc(Cl)ccc32)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),417.336
MW Monoisotopic(RDKit),416.105833304
MolLogP(RDKit),4.6845
XLogP(SDF),
XLogP(CDK),4.353
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),49.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.788341261298346
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XDM2/P53
Common Target Pref Name,XDM2/P53
RDKit Descriptors
Ipc,2558526.227711469
qed,0.7883412612983464
Chi0,19.88854057813175
Chi1,13.396721163950456
TPSA,49.410000000000004
Chi0n,15.673975181895885
Chi0v,17.185833073932795
Chi1n,9.513954666724334
Chi1v,10.26988361274279
Chi2n,7.72626527556347
Chi2v,8.599136836507439
Chi3n,6.051251302387531
Chi3v,6.5214455079630085
Chi4n,4.7245037581775895
Chi4v,5.109491832691706
MolMR,111.89370000000004
MolWt,417.3360000000002
fr_SH,0
Kappa1,19.283982784408295
Kappa2,7.41485804366779
Kappa3,3.290089884933782
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,945.8840383365632
MolLogP,4.684500000000004
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
