DLiP-ID,C0000H
DLiP-Mol-ID,29782
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H6O8/c15-5-1-3-7-8-4(14(20)22-11(7)9(5)17)2-6(16)10(18)12(8)21-13(3)19/h1-2,15-18H"
Standard Inchi Key(RDKit),AFSDNFLWKVMVRB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
SMILES(SDF),
MW(SDF),
MW(RDKit),302.194
MW Monoisotopic(RDKit),302.006267152
MolLogP(RDKit),1.3128
XLogP(SDF),
XLogP(CDK),2.836
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),141.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.216284535941976
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,113219.86134303987
qed,0.216284535941976
Chi0,15.756630355021704
Chi1,10.396754605515328
TPSA,141.34
Chi0n,10.576548082234536
Chi0v,10.576548082234536
Chi1n,6.0238726007707575
Chi1v,6.0238726007707575
Chi2n,4.771007214202675
Chi2v,4.771007214202675
Chi3n,3.549650358855682
Chi3v,3.549650358855682
Chi4n,2.581025042210216
Chi4v,2.581025042210216
MolMR,73.87719999999999
MolWt,302.194
fr_SH,0
Kappa1,12.330496675516498
Kappa2,3.6116072892805047
Kappa3,1.2571686620457891
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
