DLiP-ID,T000ZC
DLiP-Mol-ID,16782
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H11N5/c9-7(10)13-8(11)12-6-4-2-1-3-5-6/h1-5H,(H6,9,10,11,12,13)"
Standard Inchi Key(RDKit),CUQCMXFWIMOWRP-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)NC(=N)Nc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),177.211
MW Monoisotopic(RDKit),177.101445352
MolLogP(RDKit),0.51634
XLogP(SDF),
XLogP(CDK),1.561
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),97.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.3192073010593
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,790.2002544371887
qed,0.31920730105930023
Chi0,9.681798275874712
Chi1,6.1815405503520555
TPSA,97.78
Chi0n,6.964101615137757
Chi0v,6.964101615137757
Chi1n,3.6993587371177727
Chi1v,3.6993587371177727
Chi2n,2.404700538379253
Chi2v,2.404700538379253
Chi3n,1.3027954192947495
Chi3v,1.3027954192947495
Chi4n,0.8317425368321171
Chi4v,0.8317425368321171
MolMR,52.84120000000001
MolWt,177.211
fr_SH,0
Kappa1,9.05124087591241
Kappa2,4.103028382361393
Kappa3,3.23828178750585
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,4
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,305.5702418138431
MolLogP,0.5163399999999999
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.5044549868496246
SMR_VSA1,0.0
SMR_VSA2,10.818567211583044
SMR_VSA3,5.316788604006331
SMR_VSA4,5.733667477162185
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,30.33183534230805
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,75.97160441104857
NHOHCount,6
PEOE_VSA1,11.050456081168516
PEOE_VSA2,16.135355815589374
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,12.13273413692322
PEOE_VSA8,5.687386274683562
PEOE_VSA9,0.0
RingCount,1
SMR_VSA10,17.60649541217123
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,177.10144535199998
NumHDonors,5
PEOE_VSA10,0.0
PEOE_VSA11,11.91910913748767
