DLiP-ID,C1022C
DLiP-Mol-ID,40762
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H20O3/c1-8-5-4-6-14(3)7-10-11(9(2)13(16)17-10)12-15(8,14)18-12/h8,10-12H,2,4-7H2,1,3H3/t8-,10+,11+,12-,14+,15-/m0/s1"
Standard Inchi Key(RDKit),YIQKVCDNUFDAHB-HKKVUVRFSA-N
Canonical SMILES(RDKit),C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)[C@@]34O[C@H]4[C@H]12
SMILES(SDF),
MW(SDF),
MW(RDKit),248.322
MW Monoisotopic(RDKit),248.1412445
MolLogP(RDKit),2.4518
XLogP(SDF),
XLogP(CDK),2.414
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),38.83
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.375332625043705
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transforming growth factor beta-1 proprotein/Mothers against decapentaplegic homolog 3
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,24511.28610831353
qed,0.37533262504370507
Chi0,12.706742302257043
Chi1,8.494636034190973
TPSA,38.83
Chi0n,11.069679854082832
Chi0v,11.069679854082832
Chi1n,7.070976048835106
Chi1v,7.070976048835106
Chi2n,6.884400367515891
Chi2v,6.884400367515891
Chi3n,6.029929920046072
Chi3v,6.029929920046072
Chi4n,5.100357764282191
Chi4v,5.100357764282191
MolMR,65.85300000000004
MolWt,248.32199999999995
fr_SH,0
Kappa1,11.035157563781727
Kappa2,3.008405990837469
Kappa3,1.0007355165566818
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,456.6550671030861
MolLogP,2.4518000000000004
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7683663169793438
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,0.0
