DLiP-ID,T0082C
DLiP-Mol-ID,26479
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H17N3O3S/c17-9-15(20)19-12-4-1-5-13(7-12)23-14(8-16(21)22)11-3-2-6-18-10-11/h1-7,10,14H,8-9,17H2,(H,19,20)(H,21,22)"
Standard Inchi Key(RDKit),ZOVIFDVUAAMLCU-UHFFFAOYSA-N
Canonical SMILES(RDKit),NCC(=O)Nc1cccc(SC(CC(=O)O)c2cccnc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),331.397
MW Monoisotopic(RDKit),331.099062404
MolLogP(RDKit),2.2869
XLogP(SDF),
XLogP(CDK),0.517
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),105.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.672301982912934
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,146620.85904517077
qed,0.6723019829129335
Chi0,16.656489770562878
Chi1,11.079718698118977
TPSA,105.31
Chi0n,12.306888316660862
Chi0v,13.123384897588588
Chi1n,6.96574191094691
Chi1v,7.845394722201806
Chi2n,4.770846558145712
Chi2v,6.04698893306111
Chi3n,2.99774531066768
Chi3v,4.247194721836302
Chi4n,1.976032018237909
Chi4v,3.1581266001983637
MolMR,89.21390000000002
MolWt,331.397
fr_SH,0
Kappa1,16.981470218499506
Kappa2,8.304607236879695
Kappa3,5.389089459441194
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,679.2804950199517
MolLogP,2.2869
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.1741860091240452
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.733667477162185
SMR_VSA5,16.56624312842596
SMR_VSA6,11.861545009918906
SMR_VSA7,54.3553410456928
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
