DLiP-ID,C0005W
DLiP-Mol-ID,30332
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H19N3O2/c27-22-21(12-17-13-24-20-11-4-3-10-19(17)20)25-23(28)26(22)14-16-8-5-7-15-6-1-2-9-18(15)16/h1-11,13,21,24H,12,14H2,(H,25,28)"
Standard Inchi Key(RDKit),GQTSBYIQMOAYSA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1NC(Cc2c[nH]c3ccccc23)C(=O)N1Cc1cccc2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),369.424
MW Monoisotopic(RDKit),369.147726848
MolLogP(RDKit),3.9842
XLogP(SDF),
XLogP(CDK),4.308
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),65.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.534462455650594
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,5539655.961499764
qed,0.5344624556505944
Chi0,19.08721119088102
Chi1,13.70350993820667
TPSA,65.2
Chi0n,15.183477238265919
Chi0v,15.183477238265919
Chi1n,9.340462736245865
Chi1v,9.340462736245865
Chi2n,7.128352454530261
Chi2v,7.128352454530261
Chi3n,5.414334794472154
Chi3v,5.414334794472154
Chi4n,3.9860829316997854
Chi4v,3.9860829316997854
MolMR,108.82040000000002
MolWt,369.4240000000001
fr_SH,0
Kappa1,16.564749057726644
Kappa2,6.531007475970098
Kappa3,2.7210644144765466
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1205.4139998531896
MolLogP,3.984200000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.3982840349439947
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,15.200676855804018
SMR_VSA4,0.0
SMR_VSA5,19.007418857986547
SMR_VSA6,0.0
SMR_VSA7,84.0537843080848
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.51260628239842
NHOHCount,2
PEOE_VSA1,10.30076712495354
PEOE_VSA2,9.694446914922299
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,60.6636706846161
PEOE_VSA7,27.965718480785196
PEOE_VSA8,23.520590126620142
PEOE_VSA9,6.544756405912575
RingCount,5
SMR_VSA10,33.613667602700225
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,369.147726848
NumHDonors,2
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,6.031114512338072
SlogP_VSA1,5.316788604006331
SlogP_VSA2,27.864023322635223
SlogP_VSA3,17.760115212910407
SlogP_VSA4,0.0
SlogP_VSA5,11.126902983393991
SlogP_VSA6,72.9268813246908
SlogP_VSA7,0.0
SlogP_VSA8,21.67537336101065
