DLiP-ID,I000XM
DLiP-Mol-ID,29112
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H13N3OS/c1-8(15)13(18)17-14-16-12-10-5-3-2-4-9(10)6-7-11(12)19-14/h2-8H,15H2,1H3,(H,16,17,18)/t8-/m0/s1"
Standard Inchi Key(RDKit),POCGMBFIWVYGJC-QMMMGPOBSA-N
Canonical SMILES(RDKit),C[C@H](N)C(=O)Nc1nc2c(ccc3ccccc32)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),271.345
MW Monoisotopic(RDKit),271.077933036
MolLogP(RDKit),2.7352
XLogP(SDF),
XLogP(CDK),1.873
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),68.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.752716680406613
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,34008.163869099255
qed,0.7527166804066134
Chi0,13.405412915006313
Chi1,9.147867045540842
TPSA,68.01
Chi0n,10.382512329944692
Chi0v,11.199008910872418
Chi1n,5.99697864002611
Chi1v,6.813475220953836
