DLiP-ID,T002GQ
DLiP-Mol-ID,18712
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H26N4O3/c31-25(32)17-24(22-5-1-2-12-27-22)30-14-10-19-16-21(8-9-23(19)30)33-15-11-20-7-6-18-4-3-13-28-26(18)29-20/h1-2,5-10,12,14,16,24H,3-4,11,13,15,17H2,(H,28,29)(H,31,32)"
Standard Inchi Key(RDKit),IETWETOHQHTRGK-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(c1ccccn1)n1ccc2cc(OCCc3ccc4c(n3)NCCC4)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),442.519
MW Monoisotopic(RDKit),442.200490692
MolLogP(RDKit),4.475
XLogP(SDF),
XLogP(CDK),3.867
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),89.27
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.41839606922858
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,59796684.18895378
qed,0.4183960692285796
Chi0,22.622745096813752
Chi1,16.169836433395453
TPSA,89.27
Chi0n,18.276194880322358
Chi0v,18.276194880322358
Chi1n,11.260092147240327
Chi1v,11.260092147240327
Chi2n,8.251004713041299
Chi2v,8.251004713041299
Chi3n,6.0035387510498675
Chi3v,6.0035387510498675
Chi4n,4.369113044204879
Chi4v,4.369113044204879
MolMR,126.81350000000008
MolWt,442.5190000000003
fr_SH,0
Kappa1,21.000859875788645
